# resistance (ohms),time (s),res min,res_max
8.990762135757702589e+08,0.000000000000000000e+00,7.410000000000000000e+08,1.000000000000000000e+10
6.841593486759214401e+08,3.554122567176818848e+01,7.410000000000000000e+08,1.000000000000000000e+10
3.635441714784343243e+08,6.559636378288269043e+01,7.410000000000000000e+08,1.000000000000000000e+10
5.856376199101958275e+08,9.646841001510620117e+01,7.410000000000000000e+08,1.000000000000000000e+10
4.392706599467977881e+08,1.265219640731811523e+02,7.410000000000000000e+08,1.000000000000000000e+10
3.604593483427019715e+08,1.565690090656280518e+02,7.410000000000000000e+08,1.000000000000000000e+10
3.632130104760003090e+08,1.866155526638031006e+02,7.410000000000000000e+08,1.000000000000000000e+10
3.354729327320880294e+08,2.166676089763641357e+02,7.410000000000000000e+08,1.000000000000000000e+10
3.312023201967850327e+08,2.467169361114501953e+02,7.410000000000000000e+08,1.000000000000000000e+10
4.106709292775954008e+08,2.767653605937957764e+02,7.410000000000000000e+08,1.000000000000000000e+10
3.826916818442187309e+08,3.068126308917999268e+02,7.410000000000000000e+08,1.000000000000000000e+10
