# pulse_v,pulse_width,num_applied,meas_v,i_0,i_1,i_2,i_3,i_4
-2.000000000000000111e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.723517220000000396e-08,-2.039891200000000128e-08,-2.006965919999999763e-08,-1.959845890000000023e-08,-1.969326036000000066e-08
-2.000000000000000111e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.971004970000000010e-08,-1.875370880000000020e-08,-1.881661009999999881e-08,-1.860834090000000140e-08,-1.883198619999999840e-08
-4.000000000000000222e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.676760620000000185e-08,-1.701492339999999923e-08,-1.693800460000000067e-08,-1.672537620000000002e-08,-1.721692130000000097e-08
-6.000000000000000888e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.819786630000000062e-08,-1.837703029999999779e-08,-1.902281799999999923e-08,-1.832542789999999940e-08,-1.932514379999999885e-08
-8.000000000000000444e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.835109239999999969e-08,-1.986219470000000030e-08,-1.970576520000000248e-08,-1.903432030000000143e-08,-1.901255879999999791e-08
-1.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.864829470000000225e-08,-1.857641179999999929e-08,-1.876780179999999940e-08,-1.867507890000000047e-08,-1.934657910000000095e-08
-1.199999999999999956e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.619587300000000099e-08,-2.032869779999999921e-08,-1.907570574000000138e-08,-1.960454381999999903e-08,-1.935601727999999897e-08
-1.399999999999999911e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.923439060000000081e-08,-1.915393099999999851e-08,-1.938844850000000033e-08,-1.929137480000000085e-08,-1.922346399999999850e-08
-1.599999999999999867e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.755451810000000093e-08,-1.762131820000000160e-08,-1.745751420000000054e-08,-1.776260710000000046e-08,-1.799233979999999904e-08
-1.799999999999999822e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.829077679999999979e-08,-1.811595230000000123e-08,-1.774949160000000019e-08,-1.791133089999999865e-08,-1.781431549999999956e-08
-1.999999999999999778e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.793761799999999889e-08,-1.775386010000000142e-08,-1.755259839999999945e-08,-1.730451180000000165e-08,-1.744144929999999976e-08
-2.199999999999999734e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.907580690000000120e-08,-1.889117150000000029e-08,-1.816872600000000077e-08,-1.843324930000000206e-08,-1.829607369999999919e-08
-2.399999999999999911e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.848885040000000293e-08,-1.851339040000000044e-08,-1.828107990000000070e-08,-1.848043199999999945e-08,-1.819020389999999991e-08
-2.600000000000000089e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.803617399999999939e-08,-1.862823140000000075e-08,-1.885560869999999957e-08,-1.884305559999999991e-08,-1.898557260000000147e-08
-2.800000000000000266e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.832008499999999857e-08,-1.831942949999999972e-08,-1.841696749999999997e-08,-1.842914390000000033e-08,-1.843060979999999943e-08
-3.000000000000000444e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.876966669999999996e-08,-1.903581740000000055e-08,-1.907194410000000069e-08,-1.887501500000000009e-08,-1.936005530000000206e-08
-3.200000000000000622e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.932855240000000016e-08,-1.913873029999999859e-08,-1.969974520000000254e-08,-1.981559990000000007e-08,-1.959682500000000052e-08
-3.400000000000000799e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.644115220000000032e-08,-1.627717700000000094e-08,-1.597109440000000151e-08,-1.614929099999999802e-08,-1.616583110000000138e-08
-3.600000000000000977e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.709544899999999941e-08,-1.711419399999999923e-08,-1.848595610000000179e-08,-1.842371719999999926e-08,-1.868028549999999921e-08
-3.800000000000001155e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.579101889999999999e-08,-1.604991250000000168e-08,-1.607341170000000160e-08,-1.578152570000000131e-08,-1.567956829999999849e-08
-4.000000000000000888e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.410726430000000007e-08,-1.420002460000000099e-08,-1.422364200000000054e-08,-1.422335770000000091e-08,-1.425104320000000023e-08
-4.200000000000001066e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.232999340000000143e-08,-1.231333669999999895e-08,-1.226377119999999969e-08,-1.222949050000000070e-08,-1.209986780000000003e-08
4.200000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.310472930000000029e-08,-1.311537039999999927e-08,-1.334471860000000101e-08,-1.354950060000000019e-08,-1.360871769999999898e-08
-2.000000000000000111e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.285722309999999891e-08,-1.291125000000000088e-08,-1.284708119999999858e-08,-1.322509659999999867e-08,-1.287251110000000019e-08
-4.000000000000000222e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.232842709999999845e-08,-1.272781950000000025e-08,-1.265876999999999888e-08,-1.263863390000000064e-08,-1.277159710000000076e-08
-6.000000000000000888e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.243774640000000049e-08,-1.256235000000000098e-08,-1.250518019999999968e-08,-1.303445409999999862e-08,-1.301761549999999936e-08
-8.000000000000000444e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.324152170000000177e-08,-1.315189769999999973e-08,-1.334668780000000173e-08,-1.327539299999999930e-08,-1.271548670000000133e-08
-1.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.283117140000000092e-08,-1.291783749999999975e-08,-1.349781530000000018e-08,-1.356690120000000158e-08,-1.358542989999999862e-08
-1.199999999999999956e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.244457890000000136e-08,-1.230025680000000009e-08,-1.249211440000000036e-08,-1.248128230000000005e-08,-1.272729240000000097e-08
-1.399999999999999911e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.347036839999999916e-08,-1.396812890000000113e-08,-1.397701419999999958e-08,-1.423483059999999869e-08,-1.404487950000000067e-08
-1.599999999999999867e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.355334489999999976e-08,-1.376999910000000159e-08,-1.364340130000000068e-08,-1.372635870000000180e-08,-1.368070150000000102e-08
-1.799999999999999822e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.393645569999999953e-08,-1.395426870000000169e-08,-1.391123550000000191e-08,-1.402052119999999986e-08,-1.420873540000000173e-08
-1.999999999999999778e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.334373339999999963e-08,-1.338294829999999986e-08,-1.335342030000000050e-08,-1.335586090000000094e-08,-1.339917730000000001e-08
-2.199999999999999734e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.380560800000000045e-08,-1.438042560000000040e-08,-1.436931249999999985e-08,-1.445696330000000155e-08,-1.351578260000000024e-08
-2.399999999999999911e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.348741210000000094e-08,-1.358219110000000016e-08,-1.374352800000000060e-08,-1.362995100000000121e-08,-1.371014189999999892e-08
-2.600000000000000089e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.360128940000000010e-08,-1.364873299999999959e-08,-1.367699280000000166e-08,-1.369401899999999951e-08,-1.397087509999999972e-08
-2.800000000000000266e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.374252170000000077e-08,-1.368373260000000110e-08,-1.358943949999999960e-08,-1.348098490000000023e-08,-1.367490930000000090e-08
