# resistance (ohms),time (s),res min,res_max
2.441543422895555571e+07,0.000000000000000000e+00,2.380000000000000000e+07,2.500000000000000000e+07
2.825177459425606579e+07,3.962997126579284668e+01,2.380000000000000000e+07,2.500000000000000000e+07
2.482857754179285467e+07,6.967994880676269531e+01,2.380000000000000000e+07,2.500000000000000000e+07
2.657523669085073099e+07,9.972992658615112305e+01,2.380000000000000000e+07,2.500000000000000000e+07
2.329689002767711133e+07,1.297799050807952881e+02,2.380000000000000000e+07,2.500000000000000000e+07
2.643644418748808280e+07,1.598298828601837158e+02,2.380000000000000000e+07,2.500000000000000000e+07
2.781247921495205909e+07,1.898798608779907227e+02,2.380000000000000000e+07,2.500000000000000000e+07
2.706064442903278023e+07,2.199298386573791504e+02,2.380000000000000000e+07,2.500000000000000000e+07
2.961167302336996421e+07,2.499798169136047363e+02,2.380000000000000000e+07,2.500000000000000000e+07
3.052660600913034007e+07,2.800297946929931641e+02,2.380000000000000000e+07,2.500000000000000000e+07
3.054065566890733689e+07,3.100797729492187500e+02,2.380000000000000000e+07,2.500000000000000000e+07
