# resistance (ohms),time (s),res min,res_max
1.269587578030122258e+07,0.000000000000000000e+00,1.220000000000000000e+07,1.250000000000000000e+07
1.308295548177045025e+07,6.096295530796051025e+02,1.220000000000000000e+07,1.250000000000000000e+07
1.805959478459129483e+07,1.209679113864898682e+03,1.220000000000000000e+07,1.250000000000000000e+07
1.784790226510137320e+07,1.809728673458099365e+03,1.220000000000000000e+07,1.250000000000000000e+07
1.738405912547978014e+07,2.409778234004974365e+03,1.220000000000000000e+07,1.250000000000000000e+07
1.890654596425218508e+07,3.009824136257171631e+03,1.220000000000000000e+07,1.250000000000000000e+07
1.959362604061870277e+07,3.609873696565628052e+03,1.220000000000000000e+07,1.250000000000000000e+07
1.815211636886153370e+07,4.209923256635665894e+03,1.220000000000000000e+07,1.250000000000000000e+07
1.827554330882969871e+07,4.809972816944122314e+03,1.220000000000000000e+07,1.250000000000000000e+07
1.792654949497459456e+07,5.410022377014160156e+03,1.220000000000000000e+07,1.250000000000000000e+07
1.690529090552742779e+07,6.010071937084197998e+03,1.220000000000000000e+07,1.250000000000000000e+07
