# pulse_v,pulse_width,num_applied,meas_v,i_0,i_1,i_2,i_3,i_4
-5.000000000000000000e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.161632300000000288e-09,-3.181980340000000074e-09,-2.890150400000000120e-09,-3.335119540000000388e-09,-3.239089980000000148e-09
-5.000000000000000000e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.364551060000000512e-09,-2.867110920000000001e-09,-3.378207080000000290e-09,-3.266944120000000043e-09,-3.156451000000000519e-09
-1.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.326653260000000341e-09,-3.269087200000000275e-09,-3.112912480000000043e-09,-3.303864740000000233e-09,-3.145777780000000314e-09
-1.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.677452520000000424e-09,-3.154700340000000557e-09,-3.051520460000000213e-09,-3.348089120000000387e-09,-3.286948600000000492e-09
-2.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.514585600000000623e-09,-3.177036320000000173e-09,-3.259088040000000122e-09,-3.472735319999999980e-09,-3.323839560000000492e-09
-2.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.518900000000000328e-09,-3.186731740000000116e-09,-2.947729579999999902e-09,-3.026877080000000429e-09,-3.351959300000000266e-09
-3.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.753494920000000029e-09,-3.680593800000000389e-09,-3.361586319999999913e-09,-3.583701700000000481e-09,-3.620544020000000113e-09
-3.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.246014399999999936e-09,-2.357506220000000180e-09,-2.479318839999999874e-09,-2.352474080000000230e-09,-2.498156600000000141e-09
-4.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.820924624000000244e-09,-1.824841174000000099e-09,-1.844462808000000078e-09,-1.876252687999999906e-09,-1.887527372000000365e-09
-4.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.643379258000000092e-09,-1.573731638000000083e-09,-1.596801056000000307e-09,-1.638149468000000002e-09,-1.539152427999999985e-09
-5.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.105906158000000131e-09,-1.069307936000000051e-09,-1.127303220000000101e-09,-1.077799079999999976e-09,-1.058655124000000098e-09
-5.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.728462140000000937e-10,-6.170602579999999676e-10,-5.606403319999999482e-10,-5.372903660000000304e-10,-5.127082320000000451e-10
-5.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.485366300000000155e-10,-3.291635379999999911e-10,-2.953812380000000219e-10,-3.704611540000000130e-10,-3.768278760000000203e-10
-5.700000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.194060540000000048e-10,-2.226628099999999904e-10,-2.485873879999999829e-10,-2.421708979999999908e-10,-2.547993060000000404e-10
-5.900000000000000355e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.160788560000000369e-10,-3.997493640000000102e-10,-3.805649760000000053e-10,-3.320157920000000081e-10,-3.719897700000000349e-10
-6.100000000000000533e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.285096700000000312e-10,-4.188841880000000188e-10,-3.889403420000000067e-10,-4.230552100000000500e-10,-4.203777380000000255e-10
-6.600000000000000533e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.576060840000000428e-10,-2.424553540000000020e-10,-2.555407160000000034e-10,-2.821967200000000375e-10,-3.079390700000000174e-10
-6.800000000000000711e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.143240440000000218e-10,-5.124513500000000411e-10,-5.273329679999999844e-10,-5.428764060000000485e-10,-6.380137440000000439e-10
-7.300000000000000711e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.524278500000000301e-10,-5.217632159999999596e-10,-5.877780760000000639e-10,-5.688022740000001007e-10,-5.984151319999999944e-10
-7.800000000000000711e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.539215380000000353e-10,-3.255224260000000215e-10,-4.118194640000000324e-10,-3.256753240000000214e-10,-1.457662700000000095e-10
