# resistance (ohms),current (A),time (s),res min,res_max,sensitivity,integ_time
1.126944032408349991e+09,-8.873555130000000911e-11,3.000000000000000000e+01,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
1.119140207195670605e+09,-8.935430910000000307e-11,6.001833333333333087e+01,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
1.025253402040949821e+09,-9.753686240000000468e-11,9.003666666666666174e+01,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
9.597431328123451471e+08,-1.041945460000000047e-10,1.200550000000000068e+02,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
1.072332506753343821e+09,-9.325465689999999780e-11,1.500733333333333235e+02,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
9.693837682640019655e+08,-1.031583190000000142e-10,1.800916666666666686e+02,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
9.227132179175959826e+08,-1.083760349999999970e-10,2.101100000000000136e+02,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
1.236879404370630026e+09,-8.084862570000000216e-11,2.401283333333333303e+02,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
1.123762299721650362e+09,-8.898679019999999641e-11,2.701466666666666470e+02,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
1.637108074648893118e+09,-6.108332220000000882e-11,3.001650000000000205e+02,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
