# resistance (ohms),time (s),res min,res_max
1.053953230751608685e+07,0.000000000000000000e+00,9.410000000000000000e+06,1.000000000000000000e+07
1.145281028715241887e+07,3.956298923492431641e+01,9.410000000000000000e+06,1.000000000000000000e+07
1.131237542706126347e+07,6.960605359077453613e+01,9.410000000000000000e+06,1.000000000000000000e+07
1.087676291525047086e+07,9.965458083152770996e+01,9.410000000000000000e+06,1.000000000000000000e+07
1.197204472485341132e+07,1.296964716911315918e+02,9.410000000000000000e+06,1.000000000000000000e+07
1.200885602694792114e+07,1.597416803836822510e+02,9.410000000000000000e+06,1.000000000000000000e+07
1.244425804605126008e+07,1.897838909626007080e+02,9.410000000000000000e+06,1.000000000000000000e+07
1.072566744782775268e+07,2.198314940929412842e+02,9.410000000000000000e+06,1.000000000000000000e+07
1.123354956193762645e+07,2.498719770908355713e+02,9.410000000000000000e+06,1.000000000000000000e+07
1.123897354139955342e+07,2.799149653911590576e+02,9.410000000000000000e+06,1.000000000000000000e+07
1.184327689828320406e+07,3.099657049179077148e+02,9.410000000000000000e+06,1.000000000000000000e+07
