# resistance (ohms),time (s),res min,res_max
5.765349148131900467e+06,0.000000000000000000e+00,8.080000000000000000e+06,8.160000000000000000e+06
5.619605824662993662e+06,4.033590054512023926e+01,8.080000000000000000e+06,8.160000000000000000e+06
5.335778799015011638e+06,7.038352155685424805e+01,8.080000000000000000e+06,8.160000000000000000e+06
5.555655217837213539e+06,1.004307606220245361e+02,8.080000000000000000e+06,8.160000000000000000e+06
5.605486425894208252e+06,1.304779541492462158e+02,8.080000000000000000e+06,8.160000000000000000e+06
5.642869843747975305e+06,1.605188302993774414e+02,8.080000000000000000e+06,8.160000000000000000e+06
6.314715134580693208e+06,1.905693061351776123e+02,8.080000000000000000e+06,8.160000000000000000e+06
6.467818795182605274e+06,2.206183135509490967e+02,8.080000000000000000e+06,8.160000000000000000e+06
5.848613630880694836e+06,2.506670203208923340e+02,8.080000000000000000e+06,8.160000000000000000e+06
6.278670607528690249e+06,2.807261490821838379e+02,8.080000000000000000e+06,8.160000000000000000e+06
6.203175677328320220e+06,3.107707788944244385e+02,8.080000000000000000e+06,8.160000000000000000e+06
