# pulse_v,pulse_width,num_applied,meas_v,i_0,i_1,i_2,i_3,i_4
1.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.685849550000000628e-10,-8.577118800000000290e-10,-8.908951000000000868e-10,-9.064691000000000994e-10,-9.025834250000000574e-10
1.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.354946400000000052e-09,-1.374203820000000133e-09,-1.361334440000000022e-09,-1.303638220000000196e-09,-1.351040290000000175e-09
2.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.694274520000000327e-09,-2.312243680000000128e-09,-2.242317260000000375e-09,-2.237725380000000394e-09,-2.263534899999999845e-09
2.200000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.786943720000000332e-09,-2.783272260000000188e-09,-2.749792280000000100e-09,-2.723318440000000145e-09,-2.744624200000000077e-09
2.400000000000000355e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.768607740000000558e-09,-3.842076640000000369e-09,-3.744054760000000226e-09,-3.674196760000000445e-09,-3.578176660000000159e-09
2.600000000000000533e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.370188614999999912e-09,-4.414538100000000158e-09,-4.361985504999999879e-09,-4.472756210000000457e-09,-4.397398820000000672e-09
-2.000000000000000111e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.674126455000000450e-09,-3.681362894999999964e-09,-3.806879114999999873e-09,-3.676778330000000000e-09,-3.779396830000000559e-09
4.200000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-7.677985799999999772e-09,-7.628690549999999812e-09,-7.664634800000000528e-09,-7.776145550000000520e-09,-7.765027249999999967e-09
-2.000000000000000111e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.124060850000000856e-09,-8.119228450000000636e-09,-8.099844950000000772e-09,-7.829395000000000341e-09,-8.002392000000000339e-09
-4.000000000000000222e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-7.550544649999998861e-09,-7.634385700000001256e-09,-7.578405249999999409e-09,-7.628407999999999906e-09,-7.594258299999999660e-09
-6.000000000000000888e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.213483400000001014e-09,-6.181840499999999980e-09,-6.177198200000000801e-09,-6.177851600000000637e-09,-6.200645049999999752e-09
-8.000000000000000444e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.928496599999999692e-09,-5.886579850000000112e-09,-5.869992950000000850e-09,-5.868106400000000832e-09,-5.870252600000000074e-09
-1.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.332251700000000053e-09,-6.290581149999999545e-09,-6.389425300000000084e-09,-6.462502699999999999e-09,-6.372748200000000193e-09
-1.199999999999999956e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.505305099999999831e-09,-6.483457649999999525e-09,-6.509718100000000361e-09,-6.461564250000000288e-09,-6.461232249999999507e-09
-1.399999999999999911e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.602876250000000719e-09,-6.602831399999999657e-09,-6.896582999999999903e-09,-6.909511950000000267e-09,-6.936189299999999996e-09
-1.599999999999999867e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.183250650000000874e-09,-8.223146600000000655e-09,-8.226887800000000448e-09,-8.210841049999999662e-09,-8.292903600000000914e-09
-1.799999999999999822e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-7.774588550000000501e-09,-8.083990850000001014e-09,-8.085539400000000820e-09,-8.240767500000001135e-09,-8.060525400000001097e-09
-1.999999999999999778e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.209720449999999789e-09,-8.269554850000000147e-09,-8.396288449999999677e-09,-8.388363849999999752e-09,-8.495115499999999728e-09
-2.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-7.781957750000000397e-09,-7.911987450000000110e-09,-7.961666950000000962e-09,-8.052327800000000174e-09,-7.869060049999999310e-09
-2.700000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-7.889448500000001058e-09,-7.790504049999999979e-09,-7.713178349999999095e-09,-7.705435700000000095e-09,-7.842272799999999290e-09
-2.900000000000000355e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.343713149999998861e-09,-8.257373600000000727e-09,-8.267912500000000218e-09,-8.305600800000000194e-09,-8.176149999999999730e-09
-3.100000000000000533e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-7.881291299999999779e-09,-7.902045250000000579e-09,-7.919739649999999673e-09,-7.889421800000000819e-09,-7.855893550000000977e-09
-3.300000000000000711e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.803611650000000072e-09,-8.705971650000000397e-09,-8.601476700000000144e-09,-8.575705000000000425e-09,-8.555306000000001103e-09
-3.800000000000000711e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.464784500000000818e-09,-8.587737250000000324e-09,-8.922803600000000155e-09,-9.153675350000000351e-09,-9.000175700000000941e-09
-4.300000000000000711e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-9.900271250000000581e-09,-9.668512800000000626e-09,-9.344158500000000060e-09,-9.288911350000000358e-09,-9.260842400000000396e-09
-4.800000000000000711e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.240768300000000086e-08,-1.203031839999999978e-08,-1.192992030000000102e-08,-1.207111749999999877e-08,-1.212049649999999978e-08
-5.300000000000000711e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.106565040000000068e-08,-1.084658760000000034e-08,-1.053389459999999972e-08,-1.053248820000000138e-08,-1.051186659999999893e-08
-5.800000000000000711e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-9.421544290000000412e-09,-9.504466319999999694e-09,-9.467488429999999363e-09,-9.358531469999999666e-09,-9.313392009999999475e-09
-6.300000000000000711e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.180044300000000101e-09,-4.315337940000000449e-09,-4.431121020000000301e-09,-4.056977339999999922e-09,-3.962215979999999869e-09
4.200000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-9.553631849999999992e-09,-9.725063809999999724e-09,-9.826497530000000714e-09,-9.946913149999999280e-09,-9.988427390000000585e-09
