# pulse_v,pulse_width,num_applied,meas_v,i_0,i_1,i_2,i_3,i_4
-5.000000000000000000e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.399985800000001208e-09,-8.420017450000000061e-09,-8.432324599999999909e-09,-8.431736800000001133e-09,-8.437224650000001015e-09
-5.000000000000000000e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.412541299999999986e-09,-8.401819849999999379e-09,-8.391537250000000526e-09,-8.405801400000000515e-09,-8.410059550000000488e-09
-1.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.390205000000000186e-09,-8.395442300000000437e-09,-8.416345450000000821e-09,-8.422656750000000978e-09,-8.418838249999999706e-09
-1.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.355932949999999816e-09,-8.383947100000000507e-09,-8.410050099999999957e-09,-8.392860550000000494e-09,-8.405173849999999821e-09
-2.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.381724849999999357e-09,-8.390714900000000600e-09,-8.403489549999998927e-09,-8.424778050000000554e-09,-8.425335849999999694e-09
-2.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.317719500000000354e-09,-8.340598550000000287e-09,-8.344217399999999955e-09,-8.360381850000000210e-09,-8.364804500000001335e-09
-2.700000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.394283099999999840e-09,-8.410006899999999421e-09,-8.430324200000000823e-09,-8.412724100000000355e-09,-8.420118199999999917e-09
-3.200000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.428262149999999455e-09,-8.425040400000000639e-09,-8.433889799999999233e-09,-8.454934800000000994e-09,-8.456926800000000712e-09
-3.700000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.431432150000000799e-09,-8.455170700000000092e-09,-8.456944199999999641e-09,-8.450002300000000298e-09,-8.451602000000000693e-09
-4.200000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.505837799999999779e-09,-8.513875050000000045e-09,-8.503968150000000185e-09,-8.539100950000001142e-09,-8.544972300000000850e-09
-4.700000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.708291000000001067e-09,-8.729646350000000015e-09,-8.730782449999999866e-09,-8.741918149999999348e-09,-8.768953649999999921e-09
-5.200000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-9.123416050000001135e-09,-9.141794890000001027e-09,-9.100513839999999776e-09,-9.116750260000000307e-09,-9.128035479999999145e-09
-5.700000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.220681340000000145e-08,-1.236320169999999937e-08,-1.239607600000000003e-08,-1.219107560000000072e-08,-1.232226499999999953e-08
-6.200000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.912084219999999896e-08,-1.903996040000000104e-08,-1.885327759999999930e-08,-1.879513890000000016e-08,-1.880341820000000065e-08
-6.700000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.616572100000000124e-08,-2.208287299999999917e-08,-2.106389000000000056e-08,-2.053002100000000259e-08,-2.032850119999999941e-08
-7.200000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.097759780000000180e-08,-2.100051399999999786e-08,-2.096717140000000012e-08,-2.111809679999999867e-08,-2.111692920000000036e-08
-7.700000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.694093520000000201e-08,-2.680710679999999741e-08,-2.645198960000000088e-08,-2.628859820000000230e-08,-2.635841420000000317e-08
-8.199999999999999289e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.124889100000000610e-06,-8.095867700000000848e-06,-8.084593949999999929e-06,-8.077209050000001633e-06,-8.071593050000000770e-06
-8.699999999999999289e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.112773749999999500e-06,-8.133184399999999643e-06,-8.138811649999999598e-06,-8.141300050000000271e-06,-8.143067250000000432e-06
