# pulse_v,pulse_width,num_applied,meas_v,i_0,i_1,i_2,i_3,i_4
1.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.869033649999999304e-13,6.187111880000000598e-13,5.602127799999999215e-13,5.199352200000000315e-13,4.857975520000000469e-13
1.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.240880701999999795e-12,-4.213023060000000086e-13,2.713897960000000294e-13,2.073490910000000135e-13,1.599034840000000091e-13
2.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.788797839999999896e-12,-6.843377819999998971e-13,-2.580881500000000063e-13,-5.675925469999999469e-14,5.920447599999999201e-14
2.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,3.477625939999999490e-13,3.344175539999999762e-13,3.437301619999999991e-13,3.854226419999999535e-13,3.724863959999999785e-13
2.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.093615186000000035e-12,-3.882096279999999597e-13,2.480234770000000113e-13,1.542144429999999952e-13,1.491253120000000026e-13
3.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.922897580000000214e-13,-3.198813680000000022e-13,-5.025553390000000440e-14,-2.048951770000000192e-13,-2.079493239999999828e-13
3.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.259431240000000005e-11,-1.453369809999999947e-11,-1.712003399999999838e-11,-1.580247589999999756e-11,-1.366783609999999780e-11
3.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.716685769999999930e-11,-1.511008069999999816e-11,-1.368284119999999856e-11,-1.260621459999999969e-11,-1.266351860000000015e-11
4.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.422502635000000499e-11,-4.197731615000000333e-11,-4.117039555000000222e-11,-4.004455265000000097e-11,-3.702125135000000522e-11
4.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-7.417444700000000236e-11,-6.718453350000000393e-11,-6.939451500000000746e-11,-7.201213050000000396e-11,-7.103109899999999389e-11
4.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.876176584999999936e-11,-2.719796900000000091e-11,-2.559076565000000316e-11,-2.382751110000000116e-11,-2.295925910000000277e-11
