# pulse_v,pulse_width,num_applied,meas_v,i_0,i_1,i_2,i_3,i_4
-5.000000000000000000e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.955891608000000003e-09,-2.023568120000000179e-09,-2.102171740000000296e-09,-2.012469600000000472e-09,-2.056557760000000133e-09
-5.000000000000000000e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.175165780000000274e-09,-2.170996459999999998e-09,-2.066391900000000126e-09,-2.135030600000000004e-09,-2.168282940000000154e-09
-1.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.258155299999999997e-09,-3.260388480000000413e-09,-3.271781880000000152e-09,-3.311076760000000565e-09,-3.539381960000000287e-09
-1.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.806461720000000471e-09,-2.838074680000000068e-09,-2.850608080000000487e-09,-2.884621420000000444e-09,-2.960032819999999910e-09
-2.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.185203699999999362e-09,-5.278365149999999945e-09,-5.235882750000000378e-09,-5.275482950000000181e-09,-5.117432450000000138e-09
-2.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.864125340000000245e-10,-2.656005140000000180e-10,-2.738072920000000224e-10,-2.852269880000000515e-10,-3.852347180000000196e-10
-2.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.273399640000000328e-10,-9.371161120000000988e-10,-1.112092561999999949e-09,-1.191045678000000038e-09,-1.097394605999999954e-09
-3.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.020971130000000113e-09,-9.219354140000000259e-10,-8.456995619999999778e-10,-8.589017599999999835e-10,-8.969398940000000101e-10
-3.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.105465060000000503e-09,-1.464294229999999939e-09,-9.779208380000000003e-10,-5.703018740000000197e-10,-3.730561040000000279e-10
-3.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.313390650000000156e-09,-1.290228036000000185e-09,-1.318394944000000097e-09,-1.266306526000000017e-09,-1.257192397999999927e-09
-4.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.557620409999999959e-10,-1.625538830000000220e-10,-1.759233200000000021e-10,-1.774112660000000308e-10,-1.794902160000000136e-10
