# resistance (ohms),current (A),time (s),res min,res_max
3.896277690329287946e+07,-2.566552180000000192e-09,1.000000000000000000e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.884527570088705420e+07,-2.574315620000000194e-09,1.004999999999999893e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.877987409539932013e+07,-2.578657160000000445e-09,1.010000000000000009e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.881498261744751781e+07,-2.576324740000000076e-09,1.014999999999999902e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.884693773552218825e+07,-2.574205480000000075e-09,1.020000000000000018e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.886333935233187675e+07,-2.573119080000000350e-09,1.024999999999999911e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.887849627804879844e+07,-2.572115940000000532e-09,1.030000000000000027e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.880166700963460654e+07,-2.577208859999999922e-09,1.034999999999999920e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.871770612272977084e+07,-2.582797640000000048e-09,1.040000000000000036e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.867610516274333000e+07,-2.585575759999999805e-09,1.044999999999999929e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.869874030646863580e+07,-2.584063440000000298e-09,1.050000000000000044e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.865089872847664356e+07,-2.587261960000000477e-09,1.054999999999999938e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.865202186909752339e+07,-2.587186780000000169e-09,1.060000000000000053e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.862347779080504924e+07,-2.589098800000000117e-09,1.064999999999999947e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.848822827146495134e+07,-2.598197020000000356e-09,1.070000000000000062e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.840610486236956716e+07,-2.603752720000000359e-09,1.074999999999999956e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.841727850600674748e+07,-2.602995420000000077e-09,1.080000000000000071e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.847451858027610183e+07,-2.599122840000000260e-09,1.084999999999999964e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.849303583225861937e+07,-2.597872520000000312e-09,1.090000000000000080e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.848634942681856453e+07,-2.598323860000000009e-09,1.094999999999999973e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.848827004540307075e+07,-2.598194200000000201e-09,1.100000000000000089e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.839432299697239697e+07,-2.604551719999999872e-09,1.104999999999999982e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.838048802310388535e+07,-2.605490580000000376e-09,1.110000000000000098e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.837395551657307148e+07,-2.605934120000000482e-09,1.114999999999999991e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.832920305507052690e+07,-2.608976760000000271e-09,1.120000000000000107e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.822224603213334829e+07,-2.616277440000000162e-09,1.125000000000000000e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.822202397052953392e+07,-2.616292640000000458e-09,1.129999999999999893e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.819252821390908211e+07,-2.618313179999999926e-09,1.135000000000000009e+00,2.440000000000000000e+07,2.500000000000000000e+07
