# resistance (ohms),current (A),time (s),res min,res_max
1.455259562584076405e+09,-6.871626380000000448e-11,1.000000000000000000e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.444530285496156454e+09,-6.922665520000001075e-11,1.004999999999999893e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.441138028655184984e+09,-6.938960600000001063e-11,1.010000000000000009e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.454668374552074432e+09,-6.874419060000000855e-11,1.014999999999999902e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.451614314803662062e+09,-6.888882190000000240e-11,1.020000000000000018e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.442391005644326687e+09,-6.932932860000001433e-11,1.024999999999999911e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.455230219210612297e+09,-6.871764940000000301e-11,1.030000000000000027e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.460213566075878143e+09,-6.848313309999999495e-11,1.034999999999999920e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.448676080716267586e+09,-6.902854360000000553e-11,1.040000000000000036e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.454764591819481373e+09,-6.873964390000000438e-11,1.044999999999999929e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.465518953509729385e+09,-6.823521439999999205e-11,1.050000000000000044e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.455160666843033075e+09,-6.872093390000000880e-11,1.054999999999999938e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.452571693789438725e+09,-6.884341780000000671e-11,1.060000000000000053e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.465577264980597734e+09,-6.823249950000000488e-11,1.064999999999999947e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.460926863836102962e+09,-6.844969619999999280e-11,1.070000000000000062e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.451232292277626753e+09,-6.890695619999999200e-11,1.074999999999999956e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.463077081566436291e+09,-6.834909879999999854e-11,1.080000000000000071e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.466073593179347277e+09,-6.820939989999999564e-11,1.084999999999999964e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.452613672746822119e+09,-6.884142829999999238e-11,1.090000000000000080e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.456969162482767344e+09,-6.863563250000000390e-11,1.094999999999999973e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.464729543292421341e+09,-6.827198950000001484e-11,1.100000000000000089e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.450841531032908440e+09,-6.892551519999999735e-11,1.104999999999999982e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.445251382407877922e+09,-6.919211510000000507e-11,1.110000000000000098e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.455744973581554890e+09,-6.869335070000000920e-11,1.114999999999999991e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.448329594697389603e+09,-6.904505740000000641e-11,1.120000000000000107e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.435526878264792919e+09,-6.966083430000000182e-11,1.125000000000000000e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.443775123130917549e+09,-6.926286400000000067e-11,1.129999999999999893e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.441838069012021780e+09,-6.935591600000001424e-11,1.135000000000000009e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.424555224797891378e+09,-7.019734880000000816e-11,1.140000000000000124e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.425601617318803787e+09,-7.014582390000000759e-11,1.145000000000000018e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.429898568500659943e+09,-6.993503050000000345e-11,1.149999999999999911e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.413845612504245043e+09,-7.072908040000000969e-11,1.155000000000000027e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.406410956701939821e+09,-7.110297280000000232e-11,1.159999999999999920e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.413402174537336826e+09,-7.075127080000001106e-11,1.165000000000000036e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.403974637316110849e+09,-7.122635790000000348e-11,1.169999999999999929e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.391362447250267029e+09,-7.187199869999999996e-11,1.175000000000000044e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.399224115955616713e+09,-7.146817930000000537e-11,1.179999999999999938e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.397667025940702915e+09,-7.154779940000000383e-11,1.185000000000000053e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.382363394486486673e+09,-7.233987849999999684e-11,1.189999999999999947e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.384464616844599247e+09,-7.223008720000000409e-11,1.195000000000000062e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.388853486627722025e+09,-7.200183530000000626e-11,1.199999999999999956e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.374392040257977009e+09,-7.275944350000000768e-11,1.205000000000000071e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.369480152072115898e+09,-7.302040840000000014e-11,1.209999999999999964e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.377648467529055595e+09,-7.258745780000000415e-11,1.215000000000000080e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.369858857209083796e+09,-7.300022150000000826e-11,1.219999999999999973e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.359491743570769310e+09,-7.355690130000000694e-11,1.225000000000000089e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.368418795748874426e+09,-7.307704360000000712e-11,1.229999999999999982e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.368141696531056643e+09,-7.309184439999999495e-11,1.235000000000000098e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.355728978237285376e+09,-7.376105520000000080e-11,1.239999999999999991e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.360855331433887005e+09,-7.348319670000000147e-11,1.245000000000000107e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.367741648275773048e+09,-7.311322290000000263e-11,1.250000000000000000e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.356962980068737745e+09,-7.369397800000000186e-11,1.254999999999999893e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.355516713163894892e+09,-7.377260569999999613e-11,1.260000000000000009e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.365726447180523396e+09,-7.322110530000000819e-11,1.265000000000000124e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.359274331824404955e+09,-7.356866650000001311e-11,1.270000000000000018e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.350884596991334438e+09,-7.402556830000000587e-11,1.274999999999999911e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.361694152651505470e+09,-7.343793010000001084e-11,1.280000000000000027e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.362394403040740967e+09,-7.340018410000001243e-11,1.285000000000000142e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.351266219753471375e+09,-7.400466210000000265e-11,1.290000000000000036e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.357084284221934795e+09,-7.368739080000001208e-11,1.294999999999999929e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.363878244963329315e+09,-7.332032780000000040e-11,1.300000000000000044e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.352451210366540670e+09,-7.393982070000000835e-11,1.304999999999999938e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.351007742614564896e+09,-7.401882079999999788e-11,1.310000000000000053e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.360889118833182096e+09,-7.348137230000000814e-11,1.314999999999999947e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.354063843148818970e+09,-7.385176150000000768e-11,1.320000000000000062e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.346030898656154394e+09,-7.429249960000000456e-11,1.324999999999999956e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.355879394874930859e+09,-7.375287240000000759e-11,1.330000000000000071e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.354983053836687803e+09,-7.380166100000001510e-11,1.334999999999999964e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.343572061850684404e+09,-7.442846039999999831e-11,1.340000000000000080e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.349697433939717054e+09,-7.409067950000000728e-11,1.344999999999999973e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.355455687658854246e+09,-7.377592710000000706e-11,1.350000000000000089e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.343540497111864805e+09,-7.443020900000000605e-11,1.354999999999999982e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.342301905618363619e+09,-7.449888850000000260e-11,1.359999999999999876e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.351210144413381100e+09,-7.400773330000000487e-11,1.364999999999999991e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.343430963484169483e+09,-7.443627750000000336e-11,1.370000000000000107e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.335833643442661047e+09,-7.485962080000000132e-11,1.375000000000000000e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.345922661418426275e+09,-7.429847409999999930e-11,1.379999999999999893e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.345637550644532442e+09,-7.431421630000000713e-11,1.385000000000000009e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.334907712810560465e+09,-7.491154560000000333e-11,1.390000000000000124e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.341121914947855949e+09,-7.456443660000000742e-11,1.395000000000000018e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.346743898424922705e+09,-7.425316730000000485e-11,1.399999999999999911e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.335752432637934685e+09,-7.486417210000000169e-11,1.405000000000000027e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.335891981495005131e+09,-7.485635170000001088e-11,1.410000000000000142e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.345916594706114531e+09,-7.429880899999999553e-11,1.415000000000000036e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.338979856018826723e+09,-7.468372249999999454e-11,1.419999999999999929e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.332288511825512171e+09,-7.505881729999999627e-11,1.425000000000000044e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.343745961665456533e+09,-7.441882830000001181e-11,1.429999999999999938e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.346334443456091404e+09,-7.427574960000000304e-11,1.435000000000000053e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.339908532483938694e+09,-7.463195999999999898e-11,1.439999999999999947e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.352515600435653925e+09,-7.393630060000000873e-11,1.445000000000000062e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.365117131629861832e+09,-7.325378730000000432e-11,1.449999999999999956e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.360847527457279682e+09,-7.348361810000000563e-11,1.455000000000000071e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.368879854184508562e+09,-7.305243020000000936e-11,1.459999999999999964e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.386417101680103302e+09,-7.212836590000000405e-11,1.465000000000000080e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.386350773297034264e+09,-7.213181680000000250e-11,1.469999999999999973e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.387298730474746466e+09,-7.208252830000001338e-11,1.475000000000000089e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.406385407446271896e+09,-7.110426450000000804e-11,1.479999999999999982e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.412674457596437216e+09,-7.078771720000000889e-11,1.484999999999999876e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.408985316913289070e+09,-7.097306039999999751e-11,1.489999999999999991e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.424905945556421280e+09,-7.018007070000000229e-11,1.495000000000000107e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.438844784443339348e+09,-6.950019979999999812e-11,1.500000000000000000e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.434082784901117086e+09,-6.973098140000000546e-11,1.504999999999999893e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.443423260016987085e+09,-6.927974820000000857e-11,1.510000000000000009e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.462485827232659340e+09,-6.837673099999999411e-11,1.515000000000000124e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.461727578053460836e+09,-6.841220040000000310e-11,1.520000000000000018e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.463779754369999170e+09,-6.831628850000000267e-11,1.524999999999999911e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.486514427333070993e+09,-6.727146280000000828e-11,1.530000000000000027e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.493800364002102613e+09,-6.694334959999999846e-11,1.535000000000000142e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.489400378369655371e+09,-6.714111359999999688e-11,1.540000000000000036e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.506381145015251637e+09,-6.638426159999999901e-11,1.544999999999999929e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.518992958585101843e+09,-6.583308990000001018e-11,1.550000000000000044e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.509657692394799471e+09,-6.624018180000000364e-11,1.555000000000000160e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.515353187996930361e+09,-6.599121630000000392e-11,1.560000000000000053e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.530260362308391571e+09,-6.534835669999999733e-11,1.564999999999999947e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.522067939462901354e+09,-6.570008960000000321e-11,1.570000000000000062e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.515798301693519592e+09,-6.597183800000000706e-11,1.575000000000000178e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.530472244949352503e+09,-6.533930970000000286e-11,1.580000000000000071e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.529245479410054445e+09,-6.539172510000001019e-11,1.584999999999999964e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.517497683831903934e+09,-6.589795890000000749e-11,1.589999999999999858e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.529537339901433945e+09,-6.537924729999999978e-11,1.594999999999999973e+00,9.100000000000000000e+08,1.000000000000000000e+10
