# pulse_v,pulse_width,num_applied,meas_v,i_0,i_1,i_2,i_3,i_4
-5.000000000000000000e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.132094415000000277e-09,-4.081312065000000247e-09,-4.091434125000000699e-09,-4.099532874999999890e-09,-4.133930500000000172e-09
-5.000000000000000000e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.367725570000000503e-09,-4.263891739999999734e-09,-4.327299380000000276e-09,-4.211159719999999749e-09,-4.302048085000000100e-09
-1.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.125283290000000022e-09,-4.075616935000000134e-09,-4.029423335000000410e-09,-4.223532505000000089e-09,-4.096546069999999950e-09
-1.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.347763159999999898e-09,-4.175491765000000337e-09,-4.053867705000000201e-09,-4.253077654999999955e-09,-4.050664319999999547e-09
-2.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.786227584999999958e-09,-3.761754600000000393e-09,-3.774891135000000175e-09,-3.837021855000000148e-09,-3.931611474999999883e-09
-2.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.988236259999999751e-09,-3.886000634999999646e-09,-3.862065579999999834e-09,-3.821419465000000226e-09,-3.954487550000000108e-09
-3.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.924747305000000007e-09,-3.945568320000000430e-09,-4.085380984999999952e-09,-3.990904300000000069e-09,-3.971933669999999964e-09
-3.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.461140360000000262e-09,-3.442220744999999627e-09,-3.535767894999999910e-09,-3.533403680000000076e-09,-3.526170710000000096e-09
-4.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.953938715000000269e-09,-3.790131520000000589e-09,-3.783923149999999659e-09,-3.841077140000000221e-09,-3.858689350000000248e-09
-4.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.492549605000000247e-09,-2.465791174999999984e-09,-2.460982519999999971e-09,-2.477904750000000164e-09,-2.314265790000000180e-09
-5.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.804350484999999989e-09,-3.781652260000000209e-09,-3.765466665000000576e-09,-3.995176319999999996e-09,-3.929027695000000617e-09
-5.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.197013270000000056e-09,-4.211421149999999871e-09,-4.188578940000000267e-09,-4.275229720000000335e-09,-4.559490720000000250e-09
-6.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.772853449999999420e-09,-5.798960100000000033e-09,-5.783123400000000031e-09,-5.754141200000000118e-09,-5.731235500000000790e-09
-6.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.167228750000000047e-09,-3.003451939999999961e-09,-2.965814359999999692e-09,-3.018213765000000190e-09,-3.074911209999999893e-09
-6.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.051801065000000513e-09,-3.727795179999999921e-09,-3.779780180000000337e-09,-4.103984055000000515e-09,-3.892184145000000262e-09
-7.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.288759149999999569e-09,-5.250686650000000370e-09,-5.487815650000000038e-09,-5.332763100000000262e-09,-5.337317350000000324e-09
-7.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.725256735000000052e-09,-3.798636465000000306e-09,-3.714321700000000181e-09,-3.830576005000000113e-09,-3.963643105000000260e-09
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.277356140000000282e-10,-4.212584819999999908e-10,-4.223827280000000169e-10,-4.387118380000000687e-10,-4.262331300000000212e-10
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.472913360000000445e-10,-3.468279120000000155e-10,-3.360914560000000387e-10,-3.339415940000000146e-10,-3.356929940000000671e-10
-8.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.568462559999999720e-10,-3.708286120000000006e-10,-3.833009080000000432e-10,-3.971671339999999969e-10,-3.971083860000000239e-10
-9.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.240247000000001168e-11,-8.087235249999999864e-11,-7.838149649999999958e-11,-7.720719400000000626e-11,-7.719983100000000162e-11
