# pulse_v,pulse_width,num_applied,meas_v,i_0,i_1,i_2,i_3,i_4
-5.000000000000000000e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.050455960000000026e-09,-2.916308280000000024e-09,-3.138208020000000343e-09,-3.104477740000000288e-09,-3.175758280000000405e-09
-5.000000000000000000e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.180891500000000234e-09,-3.101760060000000525e-09,-3.191823240000000212e-09,-3.157363520000000319e-09,-3.174859680000000161e-09
-1.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.158657960000000351e-09,-3.137493500000000380e-09,-2.969557319999999880e-09,-2.957951240000000257e-09,-3.129554180000000229e-09
-1.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.168362920000000193e-09,-2.983636920000000184e-09,-2.925449720000000060e-09,-3.049968240000000395e-09,-2.865744460000000503e-09
-2.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.822294400000000349e-09,-2.652280279999999868e-09,-2.620582920000000250e-09,-2.566424120000000481e-09,-2.535259480000000362e-09
-2.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.773542860000000249e-09,-2.921778540000000337e-09,-2.904757159999999970e-09,-2.796850040000000089e-09,-2.653216400000000160e-09
-3.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.695381680000000300e-09,-2.612037120000000414e-09,-2.924360720000000334e-09,-2.827074820000000212e-09,-2.828866700000000161e-09
-3.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.845122060000000216e-09,-1.841877662000000062e-09,-1.811172191999999985e-09,-1.828187325999999991e-09,-1.879627012000000060e-09
-4.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.134448625000000189e-09,-1.969929695000000027e-09,-1.865133575000000054e-09,-1.342800134999999831e-09,-1.426921144999999900e-09
-4.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.060537264999999977e-09,-3.683441219999999903e-09,-3.714721885000000197e-09,-4.051507100000000525e-09,-3.788192770000000475e-09
-5.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.075591084999999979e-09,-1.234765120000000044e-09,-1.053270770000000145e-09,-9.535428900000000500e-10,-9.435403099999999652e-10
-5.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.399916800000000513e-10,-8.740561900000000664e-10,-8.037740450000000348e-10,-7.758455400000000505e-10,-7.251986500000000225e-10
-5.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.764981515000000069e-09,-1.552115739999999854e-09,-1.464868494999999943e-09,-1.416557689999999964e-09,-1.405938045000000087e-09
-6.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-9.039097250000000510e-10,-7.624474050000001123e-10,-7.275089350000000155e-10,-9.499346299999999937e-10,-9.483239849999999559e-10
-6.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.239305750000000025e-09,-1.246896055000000010e-09,-1.233782310000000006e-09,-1.142696985000000108e-09,-1.107017334999999987e-09
-7.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.283965200000000645e-10,-5.279622199999999681e-10,-6.099123450000000196e-10,-5.259045400000000758e-10,-5.746282099999999980e-10
-7.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.945559154999999969e-09,-2.967243494999999731e-09,-2.949420764999999929e-09,-2.976892569999999708e-09,-2.504888454999999860e-09
-7.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.856352255000000125e-09,-2.091143145000000132e-09,-2.183422924999999996e-09,-2.255119825000000321e-09,-2.430591360000000247e-09
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.096979499999999749e-10,-7.498251200000000623e-10,-3.980646320000000048e-10,-3.835870599999999995e-10,-4.145444220000000298e-10
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.328861220000000493e-10,-1.456160109999999885e-10,-1.437292189999999992e-10,-1.594389050000000020e-10,-1.647080380000000104e-10
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-7.157766349999999856e-11,-7.542792349999999835e-11,-7.093275300000000036e-11,-6.570282200000000371e-11,-6.172912049999999606e-11
