# resistance (ohms),current (A),time (s),res min,res_max
2.306645796689093485e+07,-4.335299340000000070e-09,1.000000000000000000e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.303922466705463827e+07,-4.340423839999999932e-09,1.004999999999999893e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.299619578072514385e+07,-4.348545340000000584e-09,1.010000000000000009e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.296941570732231811e+07,-4.353615315000000022e-09,1.014999999999999902e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.294100389351277053e+07,-4.359007150000000151e-09,1.020000000000000018e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.290122719603861123e+07,-4.366578225000000293e-09,1.024999999999999911e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.286111199034312740e+07,-4.374240415000000280e-09,1.030000000000000027e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.284855683951002359e+07,-4.376644035000000185e-09,1.034999999999999920e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.281874922930387408e+07,-4.382361145000000191e-09,1.040000000000000036e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.280006213290531933e+07,-4.385952960000000093e-09,1.044999999999999929e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.281165729888470471e+07,-4.383723580000000475e-09,1.050000000000000044e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.280605237371841818e+07,-4.384800944999999552e-09,1.054999999999999938e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.278597865213788301e+07,-4.388663815000000576e-09,1.060000000000000053e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.280534914652594179e+07,-4.384936155000000302e-09,1.064999999999999947e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.281976496883477271e+07,-4.382166080000000297e-09,1.070000000000000062e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.278381680119821057e+07,-4.389080235000000639e-09,1.074999999999999956e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.275385033630139753e+07,-4.394860585000000290e-09,1.080000000000000071e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.275674591987134144e+07,-4.394301379999999958e-09,1.084999999999999964e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.273739009072480351e+07,-4.398042150000000110e-09,1.090000000000000080e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.271941111395446211e+07,-4.401522534999999729e-09,1.094999999999999973e+00,2.440000000000000000e+07,2.500000000000000000e+07
