# resistance (ohms),current (A),time (s),res min,res_max
2.822062905859210014e+09,-3.543507120000000068e-11,1.000000000000000000e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.871914722834640503e+09,-3.481997540000000101e-11,1.004999999999999893e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.861563048176219463e+09,-3.494593630000000274e-11,1.010000000000000009e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.811671825578365803e+09,-3.556602840000000116e-11,1.014999999999999902e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.849311654315218449e+09,-3.509619590000000474e-11,1.020000000000000018e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.873145580260984421e+09,-3.480505850000000108e-11,1.024999999999999911e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.820535776057966232e+09,-3.545425690000000268e-11,1.030000000000000027e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.828818503641290665e+09,-3.535044750000000248e-11,1.034999999999999920e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.874335249971694946e+09,-3.479065290000000873e-11,1.040000000000000036e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.834952718332543850e+09,-3.527395690000000435e-11,1.044999999999999929e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.812277256216431141e+09,-3.555837170000000469e-11,1.050000000000000044e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.870995607818853378e+09,-3.483112259999999940e-11,1.054999999999999938e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.868542724588809013e+09,-3.486090660000000282e-11,1.060000000000000053e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.825994854892031670e+09,-3.538576860000000019e-11,1.064999999999999947e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.870400737881287575e+09,-3.483834110000000787e-11,1.070000000000000062e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.897657977212423801e+09,-3.451062920000000028e-11,1.074999999999999956e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.848713586891879559e+09,-3.510356409999999946e-11,1.080000000000000071e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.864048044245555401e+09,-3.491561540000000281e-11,1.084999999999999964e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.916120749421569824e+09,-3.429213280000000203e-11,1.090000000000000080e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.877444477565108776e+09,-3.475305980000000488e-11,1.094999999999999973e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.858121232871171951e+09,-3.498801900000000688e-11,1.100000000000000089e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.918504250578175545e+09,-3.426412690000000076e-11,1.104999999999999982e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.914508274131607056e+09,-3.431110520000000046e-11,1.110000000000000098e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.872944412582213879e+09,-3.480749560000000237e-11,1.114999999999999991e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.922414577595409393e+09,-3.421827990000000467e-11,1.120000000000000107e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.950403545280430317e+09,-3.389366860000000334e-11,1.125000000000000000e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.899575577524415493e+09,-3.448780600000000197e-11,1.129999999999999893e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.915194338048921108e+09,-3.430303039999999851e-11,1.135000000000000009e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.965324433121596813e+09,-3.372312280000000060e-11,1.140000000000000124e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.923633816396480560e+09,-3.420400990000000012e-11,1.145000000000000018e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.905428311370324612e+09,-3.441833329999999990e-11,1.149999999999999911e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.965209616627870560e+09,-3.372442860000000476e-11,1.155000000000000027e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.956547937230252266e+09,-3.382322969999999928e-11,1.159999999999999920e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.910151313201123714e+09,-3.436247440000000485e-11,1.165000000000000036e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.957297823055295467e+09,-3.381465310000000493e-11,1.169999999999999929e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.979703866302833080e+09,-3.356038199999999916e-11,1.175000000000000044e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.924526119804048538e+09,-3.419357390000000515e-11,1.179999999999999938e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.942609330928264141e+09,-3.398344419999999964e-11,1.185000000000000053e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.991299404846882820e+09,-3.343028779999999925e-11,1.189999999999999947e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.945978745199358463e+09,-3.394457619999999977e-11,1.195000000000000062e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.928738917501838207e+09,-3.414438870000000135e-11,1.199999999999999956e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.988640637188703537e+09,-3.346002820000000336e-11,1.205000000000000071e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.976914256188739777e+09,-3.359183080000000072e-11,1.209999999999999964e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.932682043305155754e+09,-3.409848000000000517e-11,1.215000000000000080e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.981817538613031387e+09,-3.353659259999999886e-11,1.219999999999999973e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.999394731141439915e+09,-3.334005990000000359e-11,1.225000000000000089e+00,9.100000000000000000e+08,1.000000000000000000e+10
