# resistance (ohms),current (A),time (s),res min,res_max
2.558729632086740434e+07,-3.908189389999999479e-09,1.000000000000000000e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.554064837160481885e+07,-3.915327385000000203e-09,1.004999999999999893e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.551508354845855385e+07,-3.919250344999999868e-09,1.010000000000000009e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.548727934666673094e+07,-3.923525874999999921e-09,1.014999999999999902e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.548435264379191771e+07,-3.923976464999999792e-09,1.020000000000000018e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.547439004607671499e+07,-3.925511065000000115e-09,1.024999999999999911e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.546404711834685132e+07,-3.927105519999999582e-09,1.030000000000000027e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.547674486168386042e+07,-3.925148230000000011e-09,1.034999999999999920e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.549685283676505834e+07,-3.922052680000000065e-09,1.040000000000000036e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.547790433841831982e+07,-3.924969599999999813e-09,1.044999999999999929e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.546876422569764405e+07,-3.926378175000000081e-09,1.050000000000000044e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.548857270373923331e+07,-3.923326784999999984e-09,1.054999999999999938e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.546641698135115206e+07,-3.926740069999999720e-09,1.060000000000000053e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.543509605976075679e+07,-3.931575479999999907e-09,1.064999999999999947e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.542949559819881245e+07,-3.932441350000000139e-09,1.070000000000000062e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.542667928879233822e+07,-3.932876914999999770e-09,1.074999999999999956e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.540975652678753808e+07,-3.935496190000000508e-09,1.080000000000000071e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.541806589465569705e+07,-3.934209645000000594e-09,1.084999999999999964e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.543897928761613742e+07,-3.930975329999999675e-09,1.090000000000000080e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.543078351764647290e+07,-3.932242195000000430e-09,1.094999999999999973e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.542390106048901007e+07,-3.933306684999999953e-09,1.100000000000000089e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.544715842206089571e+07,-3.929711850000000247e-09,1.104999999999999982e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.545388858686859906e+07,-3.928672810000000565e-09,1.110000000000000098e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.544086872568089142e+07,-3.930683385000000000e-09,1.114999999999999991e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.543941462726553902e+07,-3.930908060000000069e-09,1.120000000000000107e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.544603473212998360e+07,-3.929885384999999565e-09,1.125000000000000000e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.543360662286233529e+07,-3.931805719999999847e-09,1.129999999999999893e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.542589751333298534e+07,-3.932997839999999854e-09,1.135000000000000009e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.543074710709516332e+07,-3.932247825000000074e-09,1.140000000000000124e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.540341602682108805e+07,-3.936478460000000623e-09,1.145000000000000018e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.537875398373156786e+07,-3.940303769999999765e-09,1.149999999999999911e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.539114239163870364e+07,-3.938381284999999625e-09,1.155000000000000027e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.538384012015715241e+07,-3.939514254999999801e-09,1.159999999999999920e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.537695129643452913e+07,-3.940583675000000400e-09,1.165000000000000036e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.543125437431880832e+07,-3.932169389999999639e-09,1.169999999999999929e+00,2.440000000000000000e+07,2.500000000000000000e+07
