# resistance (ohms),current (A),time (s),res min,res_max
8.699280000611037016e+08,-1.149520420000000167e-10,1.000000000000000000e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.711016589225149155e+08,-1.147971639999999982e-10,1.004999999999999893e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.657740605364460945e+08,-1.155035759999999982e-10,1.010000000000000009e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.667681114728972912e+08,-1.153711109999999997e-10,1.014999999999999902e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.705240125387145281e+08,-1.148733390000000080e-10,1.020000000000000018e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.664056244280639887e+08,-1.154193800000000045e-10,1.024999999999999911e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.651915611983733177e+08,-1.155813400000000141e-10,1.030000000000000027e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.705349933739229441e+08,-1.148718900000000052e-10,1.034999999999999920e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.695958876601768732e+08,-1.149959440000000145e-10,1.040000000000000036e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.660575862647701502e+08,-1.154657630000000063e-10,1.044999999999999929e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.702802244884358644e+08,-1.149055180000000046e-10,1.050000000000000044e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.718238020382473469e+08,-1.147020760000000113e-10,1.054999999999999938e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.668101855848407745e+08,-1.153655110000000111e-10,1.060000000000000053e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.687017203273710012e+08,-1.151143110000000043e-10,1.064999999999999947e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.727871452906852961e+08,-1.145754730000000105e-10,1.070000000000000062e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.685756604705779552e+08,-1.151310180000000133e-10,1.074999999999999956e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.661721424279421568e+08,-1.154504920000000120e-10,1.080000000000000071e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.690060006949963570e+08,-1.150740039999999944e-10,1.084999999999999964e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.652749584235382080e+08,-1.155702000000000069e-10,1.090000000000000080e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.590922552884731293e+08,-1.164019340000000114e-10,1.094999999999999973e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.607346265027576685e+08,-1.161798270000000033e-10,1.100000000000000089e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.595678527777568102e+08,-1.163375289999999976e-10,1.104999999999999982e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.524545059308797121e+08,-1.173083130000000084e-10,1.110000000000000098e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.520121592018458843e+08,-1.173692170000000110e-10,1.114999999999999991e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.542440969533222914e+08,-1.170625589999999917e-10,1.120000000000000107e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.487596676060229540e+08,-1.178189820000000069e-10,1.125000000000000000e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.465506342039895058e+08,-1.181264250000000076e-10,1.129999999999999893e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.507933064789501429e+08,-1.175373610000000102e-10,1.135000000000000009e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.489485174103168249e+08,-1.177927730000000057e-10,1.140000000000000124e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.453239578115043640e+08,-1.182978420000000027e-10,1.145000000000000018e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.498711964960082769e+08,-1.176648890000000086e-10,1.149999999999999911e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.515505833479146957e+08,-1.174328360000000105e-10,1.155000000000000027e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.469605258886315823e+08,-1.180692570000000161e-10,1.159999999999999920e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.487114472400735617e+08,-1.178256760000000066e-10,1.165000000000000036e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.519954632604775429e+08,-1.173715169999999945e-10,1.169999999999999929e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.476360976173330545e+08,-1.179751550000000168e-10,1.175000000000000044e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.466608546785635948e+08,-1.181110470000000096e-10,1.179999999999999938e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.516668316487263441e+08,-1.174168070000000180e-10,1.185000000000000053e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.504738470319539309e+08,-1.175815109999999960e-10,1.189999999999999947e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.474534616694257259e+08,-1.180005800000000049e-10,1.195000000000000062e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.522935624605255127e+08,-1.173304650000000005e-10,1.199999999999999956e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.538152949910500050e+08,-1.171213499999999959e-10,1.205000000000000071e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.498256157836410999e+08,-1.176712000000000134e-10,1.209999999999999964e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.522681318042211533e+08,-1.173339659999999988e-10,1.215000000000000080e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.558104385355830193e+08,-1.168483060000000067e-10,1.219999999999999973e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.520162969928417206e+08,-1.173686470000000051e-10,1.225000000000000089e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.519353415153201818e+08,-1.173798000000000262e-10,1.229999999999999982e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.569839184568146467e+08,-1.166883040000000159e-10,1.235000000000000098e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.553791776997038126e+08,-1.169072179999999968e-10,1.239999999999999991e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.522857173661184311e+08,-1.173315450000000036e-10,1.245000000000000107e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.567365339308192730e+08,-1.167219979999999888e-10,1.250000000000000000e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.573480744275180101e+08,-1.166387410000000138e-10,1.254999999999999893e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.518902213029341698e+08,-1.173860170000000155e-10,1.260000000000000009e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.527841894357060194e+08,-1.172629620000000078e-10,1.265000000000000124e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.543716587286568880e+08,-1.170450809999999965e-10,1.270000000000000018e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.479731516775850058e+08,-1.179282620000000179e-10,1.274999999999999911e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.450239152753334045e+08,-1.183398460000000034e-10,1.280000000000000027e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.473411536143082380e+08,-1.180162200000000119e-10,1.285000000000000142e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.432658881686582565e+08,-1.185865590000000115e-10,1.290000000000000036e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.379946295773371458e+08,-1.193325070000000221e-10,1.294999999999999929e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.407363673547112942e+08,-1.189433500000000130e-10,1.300000000000000044e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.405924657092070580e+08,-1.189637120000000187e-10,1.304999999999999938e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.358095305087362528e+08,-1.196444839999999905e-10,1.310000000000000053e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.381180374601215124e+08,-1.193149360000000055e-10,1.314999999999999947e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.413954867243188620e+08,-1.188501740000000183e-10,1.320000000000000062e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.382397461568635702e+08,-1.192976120000000086e-10,1.324999999999999956e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.388331780163801908e+08,-1.192132149999999959e-10,1.330000000000000071e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.444374251052615643e+08,-1.184220369999999964e-10,1.334999999999999964e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.430082865354143381e+08,-1.186227960000000112e-10,1.340000000000000080e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.407301542977759838e+08,-1.189442290000000099e-10,1.344999999999999973e+00,9.100000000000000000e+08,1.000000000000000000e+10
8.461379172821155787e+08,-1.181840430000000132e-10,1.350000000000000089e+00,9.100000000000000000e+08,1.000000000000000000e+10
