# resistance (ohms),current (A),time (s),res min,res_max
9.785080300576530695e+08,-1.021964020000000103e-10,1.000000000000000000e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.744070241182693243e+08,-1.026265180000000049e-10,1.004999999999999893e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.761625212200649977e+08,-1.024419580000000031e-10,1.010000000000000009e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.703677725880244970e+08,-1.030537110000000118e-10,1.014999999999999902e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.656779235259373188e+08,-1.035541950000000051e-10,1.020000000000000018e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.705143286298748255e+08,-1.030381489999999982e-10,1.024999999999999911e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.712542729117668867e+08,-1.029596500000000039e-10,1.030000000000000027e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.671341883599056005e+08,-1.033982680000000080e-10,1.034999999999999920e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.720612583284386396e+08,-1.028741750000000021e-10,1.040000000000000036e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.775576517802199125e+08,-1.022957570000000111e-10,1.044999999999999929e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.750146737270859480e+08,-1.025625590000000030e-10,1.050000000000000044e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.780551994402238131e+08,-1.022437180000000013e-10,1.054999999999999938e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.858285373267905712e+08,-1.014375180000000155e-10,1.060000000000000053e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.843263452101593018e+08,-1.015923229999999983e-10,1.064999999999999947e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.823904353209757805e+08,-1.017925220000000001e-10,1.070000000000000062e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.881132935130263567e+08,-1.012029700000000053e-10,1.074999999999999956e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.883675563012459278e+08,-1.011769350000000012e-10,1.080000000000000071e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.837257623621348143e+08,-1.016543470000000141e-10,1.084999999999999964e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.893969397101773024e+08,-1.010716690000000067e-10,1.090000000000000080e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.939878841624014378e+08,-1.006048480000000007e-10,1.094999999999999973e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.892113543143280745e+08,-1.010906310000000056e-10,1.100000000000000089e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.909225253862707615e+08,-1.009160630000000074e-10,1.104999999999999982e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.985679038407068253e+08,-1.001434150000000030e-10,1.110000000000000098e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.977098567947132587e+08,-1.002295400000000180e-10,1.114999999999999991e+00,9.100000000000000000e+08,1.000000000000000000e+10
9.990525085913770199e+08,-1.000948390000000083e-10,1.120000000000000107e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.010346995916282415e+09,-9.897589680000001306e-11,1.125000000000000000e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.015812468032254696e+09,-9.844336739999999689e-11,1.129999999999999893e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.015231947240945935e+09,-9.849965840000000550e-11,1.135000000000000009e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.023962504295266747e+09,-9.765982600000000485e-11,1.140000000000000124e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.031459545003473163e+09,-9.694999720000000997e-11,1.145000000000000018e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.029106536096112967e+09,-9.717166930000000291e-11,1.149999999999999911e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.032176889330923915e+09,-9.688261870000000835e-11,1.155000000000000027e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.038943404448417068e+09,-9.625163370000001294e-11,1.159999999999999920e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.036283301213887811e+09,-9.649870830000001001e-11,1.165000000000000036e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.035967715458488464e+09,-9.652810459999999966e-11,1.169999999999999929e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.045569844243342400e+09,-9.564162600000000039e-11,1.175000000000000044e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.048531306104583740e+09,-9.537149670000000384e-11,1.179999999999999938e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.044792274854398012e+09,-9.571280570000001203e-11,1.185000000000000053e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.049312125325005054e+09,-9.530052840000000437e-11,1.189999999999999947e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.051508605389751673e+09,-9.510145660000000709e-11,1.195000000000000062e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.043583747403709650e+09,-9.582364640000000957e-11,1.199999999999999956e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.044165835173918247e+09,-9.577022790000001449e-11,1.205000000000000071e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.050252182878270149e+09,-9.521522699999999947e-11,1.209999999999999964e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.045184979231097937e+09,-9.567684380000000631e-11,1.215000000000000080e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.041770708090248108e+09,-9.599041249999999854e-11,1.219999999999999973e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.048347628853203773e+09,-9.538820640000000471e-11,1.225000000000000089e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.047774439653399110e+09,-9.544038890000001008e-11,1.229999999999999982e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.041419663618699312e+09,-9.602276920000000398e-11,1.235000000000000098e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.045211214155151725e+09,-9.567444229999999972e-11,1.239999999999999991e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.047492573764736176e+09,-9.546607059999999445e-11,1.245000000000000107e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.041000282264103532e+09,-9.606145330000001078e-11,1.250000000000000000e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.042787544877574205e+09,-9.589681090000000375e-11,1.254999999999999893e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.049877317530949473e+09,-9.524922420000000518e-11,1.260000000000000009e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.047138731166439056e+09,-9.549832990000000183e-11,1.265000000000000124e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.046684635262292027e+09,-9.553976109999999500e-11,1.270000000000000018e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.055764812188429832e+09,-9.471806490000000121e-11,1.274999999999999911e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.057202120782553434e+09,-9.458929190000000143e-11,1.280000000000000027e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.053306287040081739e+09,-9.493914660000000230e-11,1.285000000000000142e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.060184489488196611e+09,-9.432320600000000609e-11,1.290000000000000036e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.064557803207899094e+09,-9.393571650000000638e-11,1.294999999999999929e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.058917923224119544e+09,-9.443602550000000855e-11,1.300000000000000044e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.060948908013933420e+09,-9.425524570000001112e-11,1.304999999999999938e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.067995997582471371e+09,-9.363330970000001134e-11,1.310000000000000053e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.064552183285601616e+09,-9.393621239999999861e-11,1.314999999999999947e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.064610046732676268e+09,-9.393110679999999816e-11,1.320000000000000062e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.074786144614962816e+09,-9.304176510000001018e-11,1.324999999999999956e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.075853015803363085e+09,-9.294950010000000502e-11,1.330000000000000071e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.071715629311615825e+09,-9.330833410000000328e-11,1.334999999999999964e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.078680522474745989e+09,-9.270585490000000367e-11,1.340000000000000080e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.082357765945382357e+09,-9.239089250000001147e-11,1.344999999999999973e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.076155138576432467e+09,-9.292340520000001477e-11,1.350000000000000089e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.078843228990126371e+09,-9.269187340000000734e-11,1.354999999999999982e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.084534203984956503e+09,-9.220548289999999745e-11,1.359999999999999876e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.078887222814897537e+09,-9.268809370000001296e-11,1.364999999999999991e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.076720336943952322e+09,-9.287462730000000374e-11,1.370000000000000107e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.083796473977201700e+09,-9.226824630000000711e-11,1.375000000000000000e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.081056910985971689e+09,-9.250206810000000523e-11,1.379999999999999893e+00,9.100000000000000000e+08,1.000000000000000000e+10
