# pulse_v,pulse_width,num_applied,meas_v,i_0,i_1,i_2,i_3,i_4
-5.000000000000000000e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.140985960000000125e-09,-3.137274099999999925e-09,-3.275992475000000351e-09,-3.270942499999999843e-09,-3.258012395000000021e-09
-5.000000000000000000e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.264796369999999894e-09,-3.187156505000000027e-09,-3.290987575000000081e-09,-3.397914899999999809e-09,-3.299533115000000000e-09
-1.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.205713459999999786e-09,-3.274854465000000056e-09,-3.352748390000000094e-09,-3.370110790000000063e-09,-3.374109020000000230e-09
-1.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.214197019999999883e-09,-3.145685720000000084e-09,-3.308608719999999895e-09,-3.279407579999999922e-09,-3.364021964999999686e-09
-2.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.820189445000000545e-09,-4.351607410000000280e-09,-4.061779744999999597e-09,-4.346662215000000418e-09,-3.895720790000000278e-09
-2.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.117268245000000009e-09,-2.258890665000000215e-09,-2.291896955000000100e-09,-2.199773240000000107e-09,-2.225422989999999830e-09
-2.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.732524669999999907e-09,-2.745232795000000188e-09,-2.644904470000000098e-09,-2.744587789999999803e-09,-2.767688285000000098e-09
-3.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.322505185000000033e-09,-2.367573070000000155e-09,-2.658145004999999946e-09,-2.548975800000000337e-09,-2.517918175000000170e-09
-3.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.960834135000000057e-09,-1.935214995000000000e-09,-2.168162195000000045e-09,-1.977428589999999990e-09,-2.043538490000000260e-09
-4.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.449483320000000152e-09,-1.319653155000000186e-09,-1.526080300000000062e-09,-1.430921049999999980e-09,-1.237027569999999947e-09
-4.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.118513324999999920e-09,-1.143379605000000035e-09,-9.922656550000001112e-10,-1.070003699999999966e-09,-1.279714484999999940e-09
-5.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-7.792096549999999527e-10,-7.724753249999999615e-10,-8.674320450000000853e-10,-9.926322399999999632e-10,-9.533825750000000660e-10
-5.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.275998950000000327e-10,-5.346047549999999799e-10,-6.508425249999999760e-10,-5.882959049999999822e-10,-6.337486400000000508e-10
-6.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.240354920000000175e-10,-2.157517040000000060e-10,-3.152673539999999983e-10,-2.944823870000000149e-10,-2.708918949999999964e-10
-6.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.305202930000000274e-10,-2.057778250000000167e-10,-1.983164600000000179e-10,-1.747228939999999955e-10,-1.257891989999999958e-10
-6.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.493704310000000362e-10,-2.338317870000000382e-10,-2.493592490000000307e-10,-2.343528830000000136e-10,-2.558851100000000670e-10
-6.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.249337070000000193e-10,-1.995687960000000179e-10,-2.129933179999999954e-10,-2.196750950000000032e-10,-2.025225630000000019e-10
-6.700000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-9.430853950000000854e-11,-7.774379600000001464e-11,-8.205108950000000244e-11,-9.815064499999999592e-11,-9.886291450000000709e-11
