# resistance (ohms),current (A),time (s),res min,res_max
1.163804447130484343e+09,-8.592508840000000247e-11,1.000000000000000000e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.162563059716421127e+09,-8.601683940000000818e-11,1.004999999999999893e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.173140709760406017e+09,-8.524126660000000849e-11,1.010000000000000009e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.185071474504798889e+09,-8.438309600000001362e-11,1.014999999999999902e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.184161159104498386e+09,-8.444796490000001411e-11,1.020000000000000018e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.189708170118013144e+09,-8.405422650000000342e-11,1.024999999999999911e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.203972600058990240e+09,-8.305836860000000366e-11,1.030000000000000027e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.205216255013886452e+09,-8.297266120000000997e-11,1.034999999999999920e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.204700612646641493e+09,-8.300817559999999970e-11,1.040000000000000036e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.217510087384582996e+09,-8.213484309999999919e-11,1.044999999999999929e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.223704578654290438e+09,-8.171906989999999941e-11,1.050000000000000044e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.220478042746896744e+09,-8.193510780000000340e-11,1.054999999999999938e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.230496804077409506e+09,-8.126798840000000931e-11,1.060000000000000053e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.240740504058001280e+09,-8.059703030000000617e-11,1.064999999999999947e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.236861609171128035e+09,-8.084978890000000155e-11,1.070000000000000062e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.239786078185244322e+09,-8.065907640000000566e-11,1.074999999999999956e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.252140380593427896e+09,-7.986324980000000454e-11,1.080000000000000071e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.251166284035410643e+09,-7.992542740000000562e-11,1.084999999999999964e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.249036228033496618e+09,-8.006172900000000224e-11,1.090000000000000080e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.261165856450210333e+09,-7.929171209999999475e-11,1.094999999999999973e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.265487489894971609e+09,-7.902093130000000663e-11,1.100000000000000089e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.259732207613789320e+09,-7.938195070000000629e-11,1.104999999999999982e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.267094601343756914e+09,-7.892070560000000399e-11,1.110000000000000098e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.275280149398559332e+09,-7.841414300000001076e-11,1.114999999999999991e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.269437396922952652e+09,-7.877505440000001270e-11,1.120000000000000107e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.271748935232019424e+09,-7.863187239999999922e-11,1.125000000000000000e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.283578755580947399e+09,-7.790717910000000881e-11,1.129999999999999893e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.280863965492868662e+09,-7.807230330000001609e-11,1.135000000000000009e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.277436208013394356e+09,-7.828179550000000580e-11,1.140000000000000124e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.288617325902715683e+09,-7.760255740000000504e-11,1.145000000000000018e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.291169047748521090e+09,-7.744919240000001339e-11,1.149999999999999911e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.284107539917869568e+09,-7.787509760000000714e-11,1.155000000000000027e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.292504354679821730e+09,-7.736917840000000404e-11,1.159999999999999920e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.301051695900914431e+09,-7.686089670000001040e-11,1.165000000000000036e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.294263224720476389e+09,-7.726403569999999996e-11,1.169999999999999929e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.296992583402122259e+09,-7.710144320000000335e-11,1.175000000000000044e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.309143472486670256e+09,-7.638582180000000564e-11,1.179999999999999938e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.306488431264431238e+09,-7.654105280000000171e-11,1.185000000000000053e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.303595877977689981e+09,-7.671089000000000899e-11,1.189999999999999947e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.315830823667844296e+09,-7.599761169999999708e-11,1.195000000000000062e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.318789508114750624e+09,-7.582711220000000491e-11,1.199999999999999956e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.311839951663840294e+09,-7.622881120000000332e-11,1.205000000000000071e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.320932684995618582e+09,-7.570408480000000022e-11,1.209999999999999964e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.329018358041569948e+09,-7.524350540000000416e-11,1.215000000000000080e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.322095143847230434e+09,-7.563752160000000072e-11,1.219999999999999973e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.324806667419165850e+09,-7.548271189999999905e-11,1.225000000000000089e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.336752664662042141e+09,-7.480815459999999909e-11,1.229999999999999982e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.332265875728482723e+09,-7.506009260000000544e-11,1.235000000000000098e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.328312669202626467e+09,-7.528347979999999648e-11,1.239999999999999991e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.340266674012757540e+09,-7.461201710000000578e-11,1.245000000000000107e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.341806434849325895e+09,-7.452639769999999825e-11,1.250000000000000000e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.333157006432577372e+09,-7.500991969999999693e-11,1.254999999999999893e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.341529925561039925e+09,-7.454175870000000574e-11,1.260000000000000009e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.348578864558226109e+09,-7.415213350000000425e-11,1.265000000000000124e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.340041486317574024e+09,-7.462455530000001227e-11,1.270000000000000018e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.342530155368625164e+09,-7.448622260000000317e-11,1.274999999999999911e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.354853249700265169e+09,-7.380873170000001580e-11,1.280000000000000027e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.350388535274796724e+09,-7.405276140000000323e-11,1.285000000000000142e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.347576975810253620e+09,-7.420726370000000193e-11,1.290000000000000036e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.359904840386812925e+09,-7.353455700000000397e-11,1.294999999999999929e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.359971257170676231e+09,-7.353096579999999884e-11,1.300000000000000044e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.350783711877185822e+09,-7.403109700000000823e-11,1.304999999999999938e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.359223111999272346e+09,-7.357143880000000111e-11,1.310000000000000053e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.359905435874932051e+09,-7.353452480000000476e-11,1.314999999999999947e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.344433322604845047e+09,-7.438078060000001049e-11,1.320000000000000062e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.342960461793607712e+09,-7.446235599999999707e-11,1.324999999999999956e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.350972722989345312e+09,-7.402073950000001011e-11,1.330000000000000071e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.342426906348399162e+09,-7.449195150000001123e-11,1.334999999999999964e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.337027592269173384e+09,-7.479277210000000181e-11,1.340000000000000080e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.347026780123571157e+09,-7.423757380000000855e-11,1.344999999999999973e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.345577597889781237e+09,-7.431752740000000889e-11,1.350000000000000089e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.336787220776162863e+09,-7.480622080000001369e-11,1.354999999999999982e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.344952537909366846e+09,-7.435206610000000730e-11,1.359999999999999876e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.350803166219944477e+09,-7.403003079999999375e-11,1.364999999999999991e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.341149304709709406e+09,-7.456291380000000724e-11,1.370000000000000107e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.342303118213634253e+09,-7.449882120000000576e-11,1.375000000000000000e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.351665505813527346e+09,-7.398280090000001037e-11,1.379999999999999893e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.344124923443516731e+09,-7.439784670000001030e-11,1.385000000000000009e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.339086274721479177e+09,-7.467778730000000633e-11,1.390000000000000124e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.350011177012536764e+09,-7.407346080000000339e-11,1.395000000000000018e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.349600490925276279e+09,-7.409600150000000341e-11,1.399999999999999911e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.340364962989614725e+09,-7.460654580000000424e-11,1.405000000000000027e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.348681634233842850e+09,-7.414648309999999949e-11,1.410000000000000142e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.353941571482802868e+09,-7.385843089999999967e-11,1.415000000000000036e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.343568906393167496e+09,-7.442863519999999582e-11,1.419999999999999929e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.345705561870391130e+09,-7.431046050000000392e-11,1.425000000000000044e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.355075878117456198e+09,-7.379660550000000156e-11,1.429999999999999938e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.348183891678838491e+09,-7.417385760000000463e-11,1.435000000000000053e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.344476147281629086e+09,-7.437841139999999993e-11,1.439999999999999947e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.355969109651441336e+09,-7.374799270000001153e-11,1.445000000000000062e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.355225865181680918e+09,-7.378843820000000761e-11,1.449999999999999956e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.346493881950559855e+09,-7.426695460000001186e-11,1.455000000000000071e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.355808684163145304e+09,-7.375671890000001469e-11,1.459999999999999964e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.362216719575027943e+09,-7.340975820000000422e-11,1.465000000000000080e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.352933704217740059e+09,-7.391345169999999235e-11,1.469999999999999973e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.355361969988479853e+09,-7.378102840000001473e-11,1.475000000000000089e+00,9.100000000000000000e+08,1.000000000000000000e+10
