# pulse_v,pulse_width,num_applied,meas_v,i_0,i_1,i_2,i_3,i_4
2.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.983691835000000132e-11,-4.000976020000000310e-11,-3.833550315000000381e-11,-3.937760840000000621e-11,-4.179673675000000527e-11
2.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.427308274999999917e-11,-3.703002095000000112e-11,-3.981074995000000419e-11,-4.000110774999999889e-11,-4.452926264999999954e-11
3.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.785062600000000246e-10,-3.470534000000000043e-10,-2.316065179999999824e-10,-2.280234300000000072e-10,-2.143740400000000109e-10
3.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.206643980000000072e-11,-4.531998899999999845e-11,-5.729642320000000177e-11,-5.174406760000000272e-11,-5.463044700000000890e-11
3.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.369331280000000083e-10,-1.075522676000000096e-10,-1.033945327999999973e-10,-9.890205740000000733e-11,-9.704705100000000073e-11
3.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.219766040000000224e-10,-1.926255913999999929e-10,-2.104607860000000170e-10,-1.940602273999999954e-10,-2.001492380000000141e-10
3.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.307976019999999926e-10,-2.273992880000000393e-10,-1.617328841999999978e-10,-1.573860802000000173e-10,-1.325729758000000061e-10
4.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.265525560000000107e-10,-1.761772342000000183e-10,-1.338474825999999961e-10,-1.354437896000000159e-10,-1.268838568000000088e-10
4.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.271120100000000312e-10,-2.938405300000000249e-10,-3.117434980000000427e-10,-2.962927240000000137e-10,-3.021096580000000006e-10
4.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.662193480000000144e-10,-3.671161339999999731e-10,-3.602610999999999937e-10,-3.390172960000000249e-10,-3.137711660000000068e-10
5.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.959015042000000251e-10,-2.125157620000000028e-10,-2.179428280000000289e-10,-2.079319280000000010e-10,-2.239011060000000281e-10
5.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.602464060000000122e-10,-2.570953680000000365e-10,-2.001218440000000332e-10,-2.146827200000000213e-10,-1.934470774000000140e-10
6.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.428099750000000211e-10,-5.105963450000000288e-10,-5.350865500000000996e-10,-2.524605779999999845e-10,-2.196135970000000067e-10
