# pulse_v,pulse_width,num_applied,meas_v,i_0,i_1,i_2,i_3,i_4
2.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.446422250000000300e-11,-6.277494400000000422e-11,-5.805458900000000196e-11,-6.137013049999999821e-11,-5.311763799999999989e-11
2.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.606107500000000909e-11,-6.066114600000000281e-11,-6.274914550000000413e-11,-6.130227000000000269e-11,-6.121551499999999879e-11
3.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.551017549999999847e-11,-8.737391200000000079e-11,-7.827411050000000915e-11,-7.245543300000000776e-11,-7.626701299999999989e-11
3.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.463522700000000234e-11,-5.230000449999999583e-11,-5.110628250000000125e-11,-5.337803250000000558e-11,-5.545758549999999395e-11
4.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.051986840000000118e-10,-1.081921399999999979e-10,-1.052972000000000001e-10,-9.928367650000000453e-11,-9.845084790000000797e-11
4.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-9.699841650000000140e-11,-9.891182549999999479e-11,-1.059200300000000119e-10,-1.066416269999999953e-10,-1.021112360000000124e-10
4.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-9.691282789999999873e-11,-8.864357590000000310e-11,-7.999118910000000450e-11,-8.435850420000000249e-11,-1.070814890000000067e-10
5.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.731790930000000031e-10,-1.958921420000000167e-10,-1.927875250000000001e-10,-1.618607790000000141e-10,-1.713783400000000050e-10
5.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.722563880000000240e-10,-3.553694520000000033e-10,-3.138774700000000059e-10,-2.913498919999999966e-10,-2.925429160000000082e-10
6.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.153456700000000279e-10,-9.363810450000000299e-10,-7.737651650000000788e-10,-7.943191100000000711e-10,-8.812116800000001426e-10
6.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-7.488416200000000522e-10,-7.591050750000000614e-10,-7.380645900000001118e-10,-6.695744500000000690e-10,-4.515630455000000319e-10
6.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-7.505270950000000794e-10,-6.921711650000000191e-10,-9.160346849999999732e-10,-7.844990250000000304e-10,-8.589816300000000907e-10
6.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.081189610000000192e-09,-1.119720459999999915e-09,-1.063020820000000050e-09,-1.203695670000000243e-09,-1.223072720000000119e-09
7.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-7.862049390000000754e-10,-7.615639800000000533e-10,-8.000016990000000083e-10,-7.944636780000000316e-10,-8.104090300000000180e-10
7.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.216849489999999994e-09,-1.253401430000000201e-09,-1.155594130000000135e-09,-1.207405990000000201e-09,-1.085021060000000216e-09
8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.189976000000000297e-09,-1.786795884000000103e-09,-1.692534340000000046e-09,-1.705709466000000244e-09,-1.719942247999999962e-09
8.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.140670140000000429e-09,-1.935359470000000146e-09,-1.597430744000000103e-09,-1.582260299999999965e-09,-1.382102101999999948e-09
9.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.298334680000000027e-09,-2.436064300000000091e-09,-2.127793080000000228e-09,-1.898024345999999991e-09,-1.775958412000000181e-09
9.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.890319680000000232e-09,-2.815975879999999875e-09,-2.654508680000000497e-09,-2.587417740000000008e-09,-2.617928420000000278e-09
9.699999999999999289e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.518583079999999579e-09,-4.526414209999999818e-09,-4.511970969999999650e-09,-4.147878310000000072e-09,-3.761292200000000231e-09
9.899999999999998579e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.725110705000000589e-09,-4.537624045000000019e-09,-5.046066299999999780e-09,-4.998622655000000197e-09,-4.884242240000000548e-09
-2.000000000000000111e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.626559960000000025e-09,-4.534371649999999624e-09,-4.697715599999999618e-09,-4.801042720000000327e-09,-4.654855355000000289e-09
-4.000000000000000222e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.348961180000000132e-09,-4.327612684999999977e-09,-4.386377425000000321e-09,-4.479720245000000486e-09,-4.111811785000000497e-09
-6.000000000000000888e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.874943159999999871e-09,-3.804150549999999700e-09,-3.778269730000000268e-09,-3.935344044999999903e-09,-3.835954900000000087e-09
2.000000000000000111e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.831445114999999889e-09,-3.888765545000000734e-09,-3.822385455000000610e-09,-3.832582899999999698e-09,-3.772735035000000260e-09
4.000000000000000222e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.846826780000000175e-09,-3.708515685000000041e-09,-3.579949709999999979e-09,-3.838846490000000529e-09,-3.939312350000000043e-09
6.000000000000000888e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.811792104999999478e-09,-3.858096070000000220e-09,-3.899131184999999754e-09,-3.937247000000000104e-09,-3.972701834999999739e-09
8.000000000000000444e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.211217579999999830e-09,-4.236734959999999874e-09,-4.170370185000000248e-09,-4.142755719999999827e-09,-4.174667475000000455e-09
-2.000000000000000111e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.559263869999999901e-09,-4.348570540000000346e-09,-4.433646545000000106e-09,-4.657553450000000179e-09,-4.621227715000000032e-09
-4.000000000000000222e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.409458190000000614e-09,-4.588061875000000572e-09,-4.573215755000000686e-09,-4.663937905000000413e-09,-4.694492189999999611e-09
-6.000000000000000888e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.258091080000000392e-09,-4.368994490000000176e-09,-4.253548839999999857e-09,-4.224752995000000536e-09,-4.209571545000000133e-09
-8.000000000000000444e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.788048225000000493e-09,-4.763371780000000756e-09,-4.670335745000000199e-09,-4.727461844999999977e-09,-4.716653770000000294e-09
-1.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.746732264999999860e-09,-4.536054345000000088e-09,-4.720742810000000292e-09,-4.665725944999999800e-09,-4.707493604999999666e-09
-1.199999999999999956e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.336721505000000699e-09,-4.374898645000000332e-09,-4.419412379999999997e-09,-4.154386009999999971e-09,-4.375483375000000115e-09
-1.399999999999999911e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.110119800000000070e-09,-4.974195480000000180e-09,-4.826644390000000109e-09,-5.008611750000000698e-09,-4.754231550000000113e-09
-1.599999999999999867e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.859699560000000190e-09,-5.271384099999999703e-09,-5.245913149999999901e-09,-5.288496649999999436e-09,-5.434694799999999851e-09
-1.799999999999999822e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.543203834999999596e-09,-4.380784189999999685e-09,-4.716318709999999532e-09,-4.841884215000000509e-09,-4.766397965000000345e-09
-1.999999999999999778e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.303157025000000558e-09,-4.332551414999999681e-09,-4.511270349999999982e-09,-4.769788355000000145e-09,-4.837333164999999813e-09
-2.199999999999999734e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.665102689999999730e-09,-4.705525255000000042e-09,-4.784782425000000043e-09,-4.796206035000000147e-09,-4.575404379999999803e-09
-2.399999999999999911e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.870821810000000493e-09,-3.756779129999999565e-09,-3.657263714999999947e-09,-3.670797630000000175e-09,-3.836656725000000057e-09
2.000000000000000111e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.127667630000000067e-09,-4.085995880000000004e-09,-3.858999420000000324e-09,-4.014534980000000048e-09,-3.991092299999999614e-09
4.000000000000000222e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.999404975000000410e-09,-4.021122245000000247e-09,-4.052963695000000053e-09,-4.125129404999999523e-09,-4.076600759999999834e-09
