# resistance (ohms),current (A),time (s),res min,res_max
1.401619844766172886e+09,-7.134602180000001493e-11,1.000000000000000000e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.413878885966763973e+09,-7.072741590000000849e-11,1.004999999999999893e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.415170095279921055e+09,-7.066288380000000856e-11,1.010000000000000009e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.403862880332425833e+09,-7.123202800000000345e-11,1.014999999999999902e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.409523558118503094e+09,-7.094595859999999793e-11,1.020000000000000018e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.416167953916603327e+09,-7.061309339999999789e-11,1.024999999999999911e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.406436645350380182e+09,-7.110167409999999903e-11,1.030000000000000027e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.406258442384667873e+09,-7.111068420000000129e-11,1.034999999999999920e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.416820152210575819e+09,-7.058058840000000701e-11,1.040000000000000036e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.410010282838390112e+09,-7.092146860000000032e-11,1.044999999999999929e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.402291720485454082e+09,-7.131183800000001136e-11,1.050000000000000044e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.412980321112212181e+09,-7.077239400000000383e-11,1.054999999999999938e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.414152843353262901e+09,-7.071371419999999919e-11,1.060000000000000053e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.402770424455212831e+09,-7.128750239999999949e-11,1.064999999999999947e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.410007000445055962e+09,-7.092163370000000838e-11,1.070000000000000062e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.417627819746082544e+09,-7.054037639999999385e-11,1.074999999999999956e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.407116137806498766e+09,-7.106733930000000523e-11,1.080000000000000071e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.407786233088929176e+09,-7.103351180000000378e-11,1.084999999999999964e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.418490289011934996e+09,-7.049748650000000842e-11,1.090000000000000080e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.411953532242145777e+09,-7.082386050000000947e-11,1.094999999999999973e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.405764877569575310e+09,-7.113565119999999637e-11,1.100000000000000089e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.417279499148844957e+09,-7.055771290000000759e-11,1.104999999999999982e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.418401848000591278e+09,-7.050188220000000943e-11,1.110000000000000098e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.409237133970066786e+09,-7.096037819999999835e-11,1.114999999999999991e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.418268781730333567e+09,-7.050849690000000539e-11,1.120000000000000107e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.426652234842879295e+09,-7.009416700000000836e-11,1.125000000000000000e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.418230910476858377e+09,-7.051037970000000659e-11,1.129999999999999893e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.420860253531881332e+09,-7.037989820000000606e-11,1.135000000000000009e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.433587366448255539e+09,-6.975507899999999627e-11,1.140000000000000124e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.428395052390923977e+09,-7.000864349999999481e-11,1.145000000000000018e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.423861084558633327e+09,-7.023157040000000124e-11,1.149999999999999911e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.437606995967234850e+09,-6.956003990000000371e-11,1.155000000000000027e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.440088885050955772e+09,-6.944015820000001516e-11,1.159999999999999920e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.431728533159899473e+09,-6.984564300000000824e-11,1.165000000000000036e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.441527465566954136e+09,-6.937086000000000719e-11,1.169999999999999929e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.450081529891465187e+09,-6.896163970000000000e-11,1.175000000000000044e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.440336788766104698e+09,-6.942820650000000795e-11,1.179999999999999938e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.442456908233448982e+09,-6.932616110000000500e-11,1.185000000000000053e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.454552916666381359e+09,-6.874964729999999520e-11,1.189999999999999947e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.446177225232860327e+09,-6.914781829999999912e-11,1.195000000000000062e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.438714725006095886e+09,-6.950648260000000605e-11,1.199999999999999956e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.450518214675782204e+09,-6.894087849999999648e-11,1.205000000000000071e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.450621705347076178e+09,-6.893596010000000069e-11,1.209999999999999964e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.440817992486707449e+09,-6.940501890000001254e-11,1.215000000000000080e+00,9.100000000000000000e+08,1.000000000000000000e+10
1.449116142257836342e+09,-6.900758129999999901e-11,1.219999999999999973e+00,9.100000000000000000e+08,1.000000000000000000e+10
