# resistance (ohms),current (A),time (s),res min,res_max
4.639089420229984820e+07,-2.155595440000000243e-09,1.000000000000000000e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.635917393070107698e+07,-2.157070360000000236e-09,1.004999999999999893e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.633124936300323159e+07,-2.158370460000000253e-09,1.010000000000000009e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.624633740569331497e+07,-2.162333400000000171e-09,1.014999999999999902e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.622817736479455233e+07,-2.163182840000000212e-09,1.020000000000000018e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.610505934053093195e+07,-2.168959360000000379e-09,1.024999999999999911e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.591783554343528301e+07,-2.177803000000000198e-09,1.030000000000000027e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.590124173416175693e+07,-2.178590300000000531e-09,1.034999999999999920e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.589596365377473086e+07,-2.178840839999999911e-09,1.040000000000000036e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.591124927622063458e+07,-2.178115420000000196e-09,1.044999999999999929e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.595331057253606617e+07,-2.176121780000000204e-09,1.050000000000000044e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.603999420632713288e+07,-2.172024599999999928e-09,1.054999999999999938e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.607371418307784945e+07,-2.170434960000000092e-09,1.060000000000000053e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.594684501394026726e+07,-2.176428000000000293e-09,1.064999999999999947e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.602732920539993048e+07,-2.172622260000000028e-09,1.070000000000000062e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.604470970781242847e+07,-2.171802159999999992e-09,1.074999999999999956e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.605942419253016263e+07,-2.171108340000000011e-09,1.080000000000000071e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.618429766393171996e+07,-2.165238079999999988e-09,1.084999999999999964e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.617616387528984994e+07,-2.165619480000000386e-09,1.090000000000000080e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.618007558422274888e+07,-2.165436040000000061e-09,1.094999999999999973e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.626931914113890380e+07,-2.161259380000000174e-09,1.100000000000000089e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.627880505052447319e+07,-2.160816379999999993e-09,1.104999999999999982e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.619709530589190125e+07,-2.164638259999999779e-09,1.110000000000000098e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.620453622644945979e+07,-2.164289660000000325e-09,1.114999999999999991e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.621584520790165663e+07,-2.163760060000000248e-09,1.120000000000000107e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.632253844323677570e+07,-2.158776340000000513e-09,1.125000000000000000e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.641428053789992630e+07,-2.154509320000000111e-09,1.129999999999999893e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.646283156074069440e+07,-2.152257979999999863e-09,1.135000000000000009e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.646439371711813658e+07,-2.152185620000000123e-09,1.140000000000000124e+00,3.990000000000000000e+07,4.150000000000000000e+07
4.645053357263410091e+07,-2.152827800000000022e-09,1.145000000000000018e+00,3.990000000000000000e+07,4.150000000000000000e+07
