# pulse_v,pulse_width,num_applied,meas_v,i_0,i_1,i_2,i_3,i_4
-2.000000000000000111e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.293010779999999881e-09,-2.306135499999999868e-09,-2.325455540000000348e-09,-2.290522260000000210e-09,-2.370117520000000202e-09
-2.000000000000000111e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.391815800000000024e-09,-2.413613059999999882e-09,-2.400811140000000224e-09,-2.227428020000000310e-09,-3.007007620000000089e-09
-4.000000000000000222e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.210646800000000233e-09,-2.245694260000000290e-09,-2.295391580000000287e-09,-2.281608240000000373e-09,-2.359069939999999942e-09
-6.000000000000000888e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.682382479999999876e-09,-2.610094740000000053e-09,-2.691802839999999985e-09,-2.615154300000000141e-09,-2.675738099999999917e-09
-8.000000000000000444e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.690866320000000392e-09,-2.711727140000000187e-09,-2.680418160000000214e-09,-2.596401979999999978e-09,-2.553538720000000351e-09
-1.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.754316799999999866e-09,-2.785707920000000132e-09,-2.840002540000000267e-09,-2.454032020000000368e-09,-2.454604420000000026e-09
-1.199999999999999956e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.660256040000000220e-09,-2.508174380000000108e-09,-2.424719520000000217e-09,-2.382232280000000182e-09,-2.717551279999999900e-09
-1.399999999999999911e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.290213080000000025e-09,-3.159079220000000468e-09,-2.843558760000000319e-09,-2.823141000000000146e-09,-3.339662680000000383e-09
-1.599999999999999867e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.585824180000000081e-09,-2.513452640000000429e-09,-2.473994439999999983e-09,-2.500604099999999889e-09,-2.464197940000000160e-09
-1.799999999999999822e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.615953660000000431e-09,-2.645144340000000130e-09,-2.492518640000000137e-09,-2.484032660000000013e-09,-2.458547480000000307e-09
-1.999999999999999778e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.668015120000000239e-09,-2.677708480000000519e-09,-2.667587560000000182e-09,-2.629496100000000068e-09,-2.508328419999999746e-09
-2.199999999999999734e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.516353640000000396e-09,-2.609419200000000025e-09,-2.488356200000000316e-09,-2.502417660000000049e-09,-2.502579980000000176e-09
-2.399999999999999911e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.471668600000000387e-09,-2.638505340000000149e-09,-2.663863360000000431e-09,-2.821779160000000549e-09,-2.822018379999999960e-09
-2.600000000000000089e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.502298740000000377e-09,-3.702656080000000438e-09,-3.418775779999999871e-09,-3.120283580000000545e-09,-2.994879179999999968e-09
-2.800000000000000266e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.785896680000000168e-09,-2.796461600000000591e-09,-2.760463759999999998e-09,-2.772728880000000179e-09,-2.799994880000000197e-09
-3.000000000000000444e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.711419879999999869e-09,-3.163716379999999911e-09,-2.976546159999999876e-09,-2.941425440000000206e-09,-3.021799080000000087e-09
-3.200000000000000622e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.185841519999999980e-09,-3.901074100000000120e-09,-3.077825180000000355e-09,-3.734302839999999642e-09,-3.704638759999999997e-09
-3.700000000000000622e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.195797440000000246e-09,-3.837651360000000556e-09,-2.952269260000000200e-09,-2.911864880000000142e-09,-2.841628780000000189e-09
-3.900000000000000799e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.663744100000000217e-09,-2.709449280000000087e-09,-3.094143940000000003e-09,-3.047184440000000151e-09,-2.967806600000000065e-09
-4.100000000000000533e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.371431920000000228e-09,-2.397181480000000170e-09,-2.737205240000000200e-09,-2.708184540000000009e-09,-2.716008440000000094e-09
-4.300000000000000711e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.207661100000000149e-09,-2.246239360000000344e-09,-2.386978699999999960e-09,-2.353261499999999856e-09,-2.415225540000000132e-09
-4.500000000000000888e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.667270380000000486e-09,-2.850437080000000157e-09,-3.642561620000000064e-09,-3.240117860000000160e-09,-3.347602339999999981e-09
-4.700000000000001066e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.840158602000000247e-09,-2.397075220000000377e-09,-2.424585700000000490e-09,-2.499607400000000221e-09,-2.537038920000000316e-09
-4.900000000000001243e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.473221419999999983e-09,-2.993611360000000232e-09,-3.690508719999999993e-09,-3.118782220000000230e-09,-3.191514540000000242e-09
-5.100000000000001421e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.754639240000000515e-09,-2.931275640000000259e-09,-3.013852979999999926e-09,-3.206847440000000533e-09,-3.349363480000000305e-09
