# pulse_v,pulse_width,num_applied,meas_v,i_0,i_1,i_2,i_3,i_4
-2.000000000000000111e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.538740664999999678e-09,-3.179221830000000199e-09,-3.185113379999999729e-09,-3.392403530000000205e-09,-3.347221240000000092e-09
-2.000000000000000111e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.431564750000000364e-09,-2.852523920000000080e-09,-2.174688035000000102e-09,-3.078594770000000171e-09,-3.018097225000000098e-09
-4.000000000000000222e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.882605919999999853e-09,-3.649470080000000163e-09,-2.995092959999999790e-09,-2.942215610000000296e-09,-3.602934485000000112e-09
-6.000000000000000888e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.549083430000000091e-09,-2.825818745000000167e-09,-3.666065610000000025e-09,-2.879584124999999761e-09,-2.637204000000000399e-09
-8.000000000000000444e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.168096675000000170e-09,-2.992417265000000423e-09,-4.008076975000000357e-09,-3.478193084999999950e-09,-3.272117550000000116e-09
-1.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.407460260000000329e-09,-3.936603584999999564e-09,-3.800456335000000243e-09,-3.381407490000000410e-09,-4.466745615000000119e-09
-1.199999999999999956e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.245307055000000048e-09,-3.260079865000000304e-09,-3.242932714999999882e-09,-3.268586499999999898e-09,-3.244410150000000014e-09
-1.399999999999999911e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.250609845000000103e-09,-3.944915615000000071e-09,-5.084432900000000085e-09,-3.436410594999999989e-09,-3.618146125000000379e-09
-1.599999999999999867e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.103932945000000249e-09,-4.410499980000000345e-09,-3.126100064999999969e-09,-3.768213959999999606e-09,-3.652873570000000002e-09
-1.799999999999999822e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.143549950000000218e-09,-5.070639750000000517e-09,-5.244809799999999736e-09,-5.108444350000000343e-09,-3.463260349999999999e-09
