# resistance (ohms),current (A),time (s),res min,res_max
2.619126410788676143e+07,-3.818066955000000425e-09,1.000000000000000000e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.619354372261810303e+07,-3.817734670000000133e-09,1.004999999999999893e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.621949465364053100e+07,-3.813956039999999658e-09,1.010000000000000009e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.619486257946541160e+07,-3.817542454999999493e-09,1.014999999999999902e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.602946979262395948e+07,-3.841799344999999573e-09,1.020000000000000018e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.585029935764681920e+07,-3.868427154999999889e-09,1.024999999999999911e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.571090058405794203e+07,-3.889400905000000444e-09,1.030000000000000027e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.554184753120286018e+07,-3.915143564999999840e-09,1.034999999999999920e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.538929591498847306e+07,-3.938667710000000352e-09,1.040000000000000036e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.529045582708288357e+07,-3.954060799999999730e-09,1.044999999999999929e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.517281103308197111e+07,-3.972540050000000031e-09,1.050000000000000044e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.504953294644830748e+07,-3.992090400000000142e-09,1.054999999999999938e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.495914774054844305e+07,-4.006547060000000122e-09,1.060000000000000053e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.485490467830262706e+07,-4.023350775000000421e-09,1.064999999999999947e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.475065916790831089e+07,-4.040296434999999728e-09,1.070000000000000062e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.466662686870865151e+07,-4.054060595000000643e-09,1.074999999999999956e+00,2.440000000000000000e+07,2.500000000000000000e+07
