# resistance (ohms),current (A),time (s),res min,res_max
5.988422486991140246e+07,-1.669888859999999998e-09,1.000000000000000000e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.989792267894560844e+07,-1.669506980000000151e-09,1.004999999999999893e+00,5.850000000000000000e+07,6.220000000000000000e+07
5.993736952458792925e+07,-1.668408220000000168e-09,1.010000000000000009e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.000296318633399159e+07,-1.666584360000000240e-09,1.014999999999999902e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.004255359875673056e+07,-1.665485460000000047e-09,1.020000000000000018e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.007495612350486219e+07,-1.664587150000000061e-09,1.024999999999999911e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.015110209480844438e+07,-1.662479930000000135e-09,1.030000000000000027e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.022012479006963223e+07,-1.660574440000000118e-09,1.034999999999999920e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.025123778034102172e+07,-1.659716940000000155e-09,1.040000000000000036e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.030151493144202977e+07,-1.658333130000000088e-09,1.044999999999999929e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.035226543061525375e+07,-1.656938630000000171e-09,1.050000000000000044e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.036427935076962411e+07,-1.656608860000000019e-09,1.054999999999999938e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.037707487780072540e+07,-1.656257780000000064e-09,1.060000000000000053e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.041563126861262321e+07,-1.655200779999999992e-09,1.064999999999999947e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.042820574728434533e+07,-1.654856350000000089e-09,1.070000000000000062e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.042651146721462160e+07,-1.654902749999999991e-09,1.074999999999999956e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.045908164722678810e+07,-1.654011230000000060e-09,1.080000000000000071e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.047438404874429107e+07,-1.653592700000000110e-09,1.084999999999999964e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.045860719293824583e+07,-1.654024210000000186e-09,1.090000000000000080e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.046731925819418579e+07,-1.653785900000000072e-09,1.094999999999999973e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.047489312846649438e+07,-1.653578779999999933e-09,1.100000000000000089e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.044510883558917046e+07,-1.654393580000000140e-09,1.104999999999999982e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.043420477361564338e+07,-1.654692080000000167e-09,1.110000000000000098e+00,5.850000000000000000e+07,6.220000000000000000e+07
6.046146828716783226e+07,-1.653945940000000175e-09,1.114999999999999991e+00,5.850000000000000000e+07,6.220000000000000000e+07
