# pulse_v,pulse_width,num_applied,meas_v,i_0,i_1,i_2,i_3,i_4
-5.000000000000000000e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.227014250000000720e-10,-7.753210450000000711e-10,-7.457989149999999738e-10,-7.310167050000001331e-10,-7.225806550000000235e-10
-5.000000000000000000e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-7.027900849999999752e-10,-5.993261549999999710e-10,-5.585702999999999566e-10,-6.931203200000000618e-10,-6.639591150000000390e-10
-1.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.790330050000000286e-10,-6.289733800000001163e-10,-6.737135950000001358e-10,-6.844938850000000193e-10,-6.920939950000000488e-10
-1.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.533608400000001291e-10,-7.381396550000000108e-10,-7.525670900000000832e-10,-7.296843149999999973e-10,-6.306695300000000308e-10
-2.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.313435150000000922e-10,-7.425319150000000719e-10,-7.065295200000000738e-10,-7.996772700000000120e-10,-6.760120400000001181e-10
-2.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.493628700000000870e-10,-6.044939150000001190e-10,-5.967659700000000367e-10,-5.828097150000000503e-10,-5.657099300000001055e-10
-3.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.389794950000000251e-10,-5.650911199999999845e-10,-6.208630750000001163e-10,-6.159946250000000885e-10,-6.574098400000000187e-10
-3.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.619446550000000831e-10,-4.710462855000000089e-10,-5.791096700000000591e-10,-5.031534550000000515e-10,-5.681961700000000637e-10
-4.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.122418990000000586e-10,-4.110489055000000483e-10,-2.882212454999999994e-10,-3.075611800000000048e-10,-2.977685509999999936e-10
-4.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.839572265000000131e-10,-5.251260950000000013e-10,-3.865576595000000035e-10,-3.238720665000000025e-10,-3.661208850000000373e-10
-4.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.970048695000000345e-10,-3.451881660000000649e-10,-2.979969120000000318e-10,-3.816291915000000322e-10,-3.772030665000000224e-10
-5.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.501234004999999804e-10,-1.692733710000000144e-10,-1.750867985000000095e-10,-1.935496405000000153e-10,-1.718305805000000115e-10
-5.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.972746740000000301e-10,-2.234115540000000382e-10,-2.005138175000000106e-10,-2.066976830000000076e-10,-2.050333670000000003e-10
-5.200000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.802181180000000537e-10,-2.781396925000000086e-10,-2.719027305000000473e-10,-3.191403709999999840e-10,-2.852492775000000099e-10
-5.700000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.270877555000000213e-10,-4.149309795000000343e-10,-4.029820095000000265e-10,-3.471917339999999980e-10,-3.826458145000000152e-10
-6.200000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.009657205000000129e-10,-1.386087130000000003e-10,-1.445911965000000041e-10,-1.378336240000000020e-10,-1.256699185000000053e-10
-6.200000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.396299300000000280e-10,-2.424439969999999923e-10,-1.770591965000000051e-10,-1.591319705000000073e-10,-1.791692635000000306e-10
-6.400000000000000355e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.099058895000000069e-10,-1.408487265000000082e-10,-1.998531110000000059e-10,-1.738712380000000196e-10,-2.015738270000000265e-10
-6.600000000000000533e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.188884560000000030e-10,-9.710928800000000379e-11,-9.726433100000000766e-11,-1.129840460000000161e-10,-1.121635210000000134e-10
-6.600000000000000533e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-7.737636799999999776e-10,-7.370671800000000723e-10,-9.282943299999999604e-10,-8.689200400000001100e-10,-8.283437100000000407e-10
-7.100000000000000533e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.197818500000000770e-11,-1.109542535000000050e-10,-6.333057900000000723e-11,-6.645084100000000140e-11,-6.159143350000000749e-11
