# resistance (ohms),current (A),time (s),res min,res_max
2.425499415059284866e+07,-4.122862259999999695e-09,1.000000000000000000e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.458033683664584160e+07,-4.068292500000000197e-09,1.004999999999999893e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.492443024908413738e+07,-4.012127820000000504e-09,1.010000000000000009e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.525848395851364732e+07,-3.959065800000000376e-09,1.014999999999999902e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.554579458691969886e+07,-3.914538640000000154e-09,1.020000000000000018e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.539817003238728642e+07,-3.937291540000000405e-09,1.024999999999999911e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.531754197899103910e+07,-3.949830520000000039e-09,1.030000000000000027e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.560208631196539477e+07,-3.905931680000000426e-09,1.034999999999999920e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.591546402586844191e+07,-3.858699960000000156e-09,1.040000000000000036e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.625098036254987121e+07,-3.809381540000000586e-09,1.044999999999999929e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.656535927942929417e+07,-3.764300680000000049e-09,1.050000000000000044e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.686316419395090640e+07,-3.722569660000000035e-09,1.054999999999999938e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.718990543655416369e+07,-3.677835520000000091e-09,1.060000000000000053e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.751121156151402742e+07,-3.634881720000000387e-09,1.064999999999999947e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.780214264885715023e+07,-3.596845080000000047e-09,1.070000000000000062e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.810482835667460039e+07,-3.558107480000000179e-09,1.074999999999999956e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.843393877889778838e+07,-3.516923940000000067e-09,1.080000000000000071e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.871203946807478741e+07,-3.482859520000000039e-09,1.084999999999999964e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.899168138207102194e+07,-3.449265280000000503e-09,1.090000000000000080e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.931269177352261543e+07,-3.411491540000000422e-09,1.094999999999999973e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.959795709690876678e+07,-3.378611560000000104e-09,1.100000000000000089e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.985247129593834653e+07,-3.349806420000000219e-09,1.104999999999999982e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.014750989677932858e+07,-3.317023540000000247e-09,1.110000000000000098e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.042239431873225048e+07,-3.287052259999999869e-09,1.114999999999999991e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.016419402422823012e+07,-3.315188860000000304e-09,1.120000000000000107e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.980551306614081562e+07,-3.355084000000000405e-09,1.125000000000000000e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.006947160511230305e+07,-3.325632100000000072e-09,1.129999999999999893e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.033653912485855445e+07,-3.296354920000000510e-09,1.135000000000000009e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.060625406726510078e+07,-3.267306080000000282e-09,1.140000000000000124e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.092317719219258055e+07,-3.233820360000000266e-09,1.145000000000000018e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.119379852312336862e+07,-3.205765400000000379e-09,1.149999999999999911e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.142767972652488202e+07,-3.181908459999999991e-09,1.155000000000000027e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.174431029743332788e+07,-3.150170820000000437e-09,1.159999999999999920e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.203489024971536174e+07,-3.121596460000000417e-09,1.165000000000000036e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.226561633567371219e+07,-3.099274440000000123e-09,1.169999999999999929e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.254396047944752127e+07,-3.072766759999999969e-09,1.175000000000000044e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.284305073922251910e+07,-3.044784140000000146e-09,1.179999999999999938e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.309541809491322562e+07,-3.021566299999999999e-09,1.185000000000000053e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.335476376905495301e+07,-2.998072500000000144e-09,1.189999999999999947e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.363311628560491651e+07,-2.973260020000000221e-09,1.195000000000000062e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.388640096439070255e+07,-2.951036320000000333e-09,1.199999999999999956e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.413100565335738659e+07,-2.929887300000000072e-09,1.205000000000000071e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.390319587933505327e+07,-2.949574440000000113e-09,1.209999999999999964e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.306176356657398120e+07,-3.024642039999999999e-09,1.215000000000000080e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.218673538800749183e+07,-3.106869920000000104e-09,1.219999999999999973e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.144142858331343159e+07,-3.180517060000000235e-09,1.225000000000000089e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.080387251992323250e+07,-3.246345080000000482e-09,1.229999999999999982e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.016998432910674065e+07,-3.314552599999999893e-09,1.235000000000000098e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.955364078305019066e+07,-3.383677860000000438e-09,1.239999999999999991e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.899232355173312500e+07,-3.449188880000000137e-09,1.245000000000000107e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.845215971922589466e+07,-3.514671680000000270e-09,1.250000000000000000e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.832632894034460932e+07,-3.530284500000000125e-09,1.254999999999999893e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.865109679349588603e+07,-3.490267780000000227e-09,1.260000000000000009e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.899581361922463030e+07,-3.448773720000000310e-09,1.265000000000000124e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.930737940587799251e+07,-3.412109920000000179e-09,1.270000000000000018e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.963578438933160529e+07,-3.374299080000000266e-09,1.274999999999999911e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.996850172613475472e+07,-3.336836820000000132e-09,1.280000000000000027e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.025903861236696690e+07,-3.304797660000000332e-09,1.285000000000000142e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.055797642635466531e+07,-3.272468000000000160e-09,1.290000000000000036e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.088948648650451750e+07,-3.237347440000000376e-09,1.294999999999999929e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.117204203490017727e+07,-3.208002860000000422e-09,1.300000000000000044e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.144647225203854218e+07,-3.180006940000000495e-09,1.304999999999999938e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.175561427987225354e+07,-3.149049460000000074e-09,1.310000000000000053e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.206953928110957891e+07,-3.118223780000000307e-09,1.314999999999999947e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.232685272175548598e+07,-3.093403520000000056e-09,1.320000000000000062e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.206952693965013325e+07,-3.118224980000000276e-09,1.324999999999999956e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.138467398994138837e+07,-3.186268560000000202e-09,1.330000000000000071e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.065391977772327885e+07,-3.262225540000000206e-09,1.334999999999999964e+00,2.440000000000000000e+07,2.500000000000000000e+07
3.005322480208253488e+07,-3.327429940000000101e-09,1.340000000000000080e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.947583945908580720e+07,-3.392609059999999879e-09,1.344999999999999973e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.889125375999443606e+07,-3.461255120000000283e-09,1.350000000000000089e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.834055330656575784e+07,-3.528512619999999934e-09,1.354999999999999982e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.787610019022762403e+07,-3.587302359999999976e-09,1.359999999999999876e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.741923682985232770e+07,-3.647074520000000180e-09,1.364999999999999991e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.696046484543298557e+07,-3.709134860000000134e-09,1.370000000000000107e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.657031349887772277e+07,-3.763598800000000145e-09,1.375000000000000000e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.619655008515529335e+07,-3.817296539999999932e-09,1.379999999999999893e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.582262010495696589e+07,-3.872573720000000439e-09,1.385000000000000009e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.549073475263671204e+07,-3.922994020000000036e-09,1.390000000000000124e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.530317313177500665e+07,-3.952073499999999856e-09,1.395000000000000018e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.556375963636144996e+07,-3.911787680000000204e-09,1.399999999999999911e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.588064779012964293e+07,-3.863890920000000358e-09,1.405000000000000027e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.598575236538429186e+07,-3.848262640000000289e-09,1.410000000000000142e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.568251356855988875e+07,-3.893699879999999782e-09,1.415000000000000036e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.531854720049405843e+07,-3.949673700000000011e-09,1.419999999999999929e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.503413767667210102e+07,-3.994545420000000716e-09,1.425000000000000044e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.476184907840186357e+07,-4.038470620000000294e-09,1.429999999999999938e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.446805494299780205e+07,-4.086961559999999627e-09,1.435000000000000053e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.419260530471353605e+07,-4.133494459999999976e-09,1.439999999999999947e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.396340940749295801e+07,-4.173028900000000489e-09,1.445000000000000062e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.371305964747454226e+07,-4.217085499999999768e-09,1.449999999999999956e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.347718679031105712e+07,-4.259454119999999958e-09,1.455000000000000071e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.338765232524132356e+07,-4.275760500000000292e-09,1.459999999999999964e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.369091131354731694e+07,-4.221028000000000036e-09,1.465000000000000080e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.402361344387738407e+07,-4.162571139999999732e-09,1.469999999999999973e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.437925860851002857e+07,-4.101847460000000117e-09,1.475000000000000089e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.474340801340902597e+07,-4.041480460000000381e-09,1.479999999999999982e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.507817355722169951e+07,-3.987531220000000659e-09,1.484999999999999876e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.541876551955438033e+07,-3.934101360000000569e-09,1.489999999999999991e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.577688675443435460e+07,-3.879444439999999922e-09,1.495000000000000107e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.609766028420894593e+07,-3.831761120000000451e-09,1.500000000000000000e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.642328188766150177e+07,-3.784541239999999984e-09,1.504999999999999893e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.676121009696175158e+07,-3.736751800000000103e-09,1.510000000000000009e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.707283499553772062e+07,-3.693739500000000364e-09,1.515000000000000124e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.735638668440790474e+07,-3.655453520000000198e-09,1.520000000000000018e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.767149111919742078e+07,-3.613827660000000453e-09,1.524999999999999911e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.800740222197173536e+07,-3.570484660000000348e-09,1.530000000000000027e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.800239008240022510e+07,-3.571123740000000085e-09,1.535000000000000142e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.756851391865070909e+07,-3.627326460000000076e-09,1.540000000000000036e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.715612887840370089e+07,-3.682409980000000226e-09,1.544999999999999929e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.672831270453741029e+07,-3.741351020000000108e-09,1.550000000000000044e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.630655130514350906e+07,-3.801334460000000164e-09,1.555000000000000160e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.594839529492694512e+07,-3.853802859999999991e-09,1.560000000000000053e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.560526021355934069e+07,-3.905447520000000111e-09,1.564999999999999947e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.525816828450623155e+07,-3.959115279999999936e-09,1.570000000000000062e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.496527318018000573e+07,-4.005564020000000093e-09,1.575000000000000178e+00,2.440000000000000000e+07,2.500000000000000000e+07
2.468742144771088287e+07,-4.050645799999999764e-09,1.580000000000000071e+00,2.440000000000000000e+07,2.500000000000000000e+07
