# resistance (ohms),current (A),time (s),res min,res_max
0.000000000000000000e+00,9.884487880000001366e-10,1.000000000000000000e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.869820830000000330e-10,1.004999999999999893e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.865944080000001168e-10,1.010000000000000009e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.870392510000000503e-10,1.014999999999999902e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.855791990000000325e-10,1.020000000000000018e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.847522469999999968e-10,1.024999999999999911e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.860519950000000175e-10,1.030000000000000027e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.866167280000000767e-10,1.034999999999999920e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.865567700000000386e-10,1.040000000000000036e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.880571360000001025e-10,1.044999999999999929e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.892335350000000362e-10,1.050000000000000044e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.887441520000000082e-10,1.054999999999999938e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.893759650000000680e-10,1.060000000000000053e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.907163430000001363e-10,1.064999999999999947e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.900312850000001848e-10,1.070000000000000062e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.897191339999999996e-10,1.074999999999999956e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.907736050000001173e-10,1.080000000000000071e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.906985900000000275e-10,1.084999999999999964e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.900150880000000178e-10,1.090000000000000080e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.912511560000000877e-10,1.094999999999999973e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.920915420000001624e-10,1.100000000000000089e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.912129149999999910e-10,1.104999999999999982e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.912594530000000112e-10,1.110000000000000098e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.920904010000001047e-10,1.114999999999999991e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.910754810000001291e-10,1.120000000000000107e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.905426450000000716e-10,1.125000000000000000e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.916504010000000525e-10,1.129999999999999893e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.916662890000000217e-10,1.135000000000000009e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.908287870000001384e-10,1.140000000000000124e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.917175350000000454e-10,1.145000000000000018e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.924048320000001068e-10,1.149999999999999911e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.917214049999999142e-10,1.155000000000000027e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.922937020000001265e-10,1.159999999999999920e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.937352769999999535e-10,1.165000000000000036e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.930766579999999680e-10,1.169999999999999929e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.930489660000001899e-10,1.175000000000000044e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.945078640000000714e-10,1.179999999999999938e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.948850970000001248e-10,1.185000000000000053e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.950219609999999291e-10,1.189999999999999947e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.968574890000000523e-10,1.195000000000000062e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.979253060000001065e-10,1.199999999999999956e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.969095059999999331e-10,1.205000000000000071e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.969088290000000398e-10,1.209999999999999964e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.976452870000000394e-10,1.215000000000000080e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.964359379999999419e-10,1.219999999999999973e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.955317790000001020e-10,1.225000000000000089e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.959079320000001006e-10,1.229999999999999982e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.953541450000000400e-10,1.235000000000000098e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.944546470000000149e-10,1.239999999999999991e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.955970490000001046e-10,1.245000000000000107e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.966364020000001677e-10,1.250000000000000000e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.962673309999999533e-10,1.254999999999999893e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.968221180000001260e-10,1.260000000000000009e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.978974590000001550e-10,1.265000000000000124e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.968187240000001442e-10,1.270000000000000018e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.961823769999999874e-10,1.274999999999999911e+00,1.020000000000000000e+07,1.040000000000000000e+07
0.000000000000000000e+00,9.970201270000000655e-10,1.280000000000000027e+00,1.020000000000000000e+07,1.040000000000000000e+07
