# resistance (ohms),current (A),time (s),res min,res_max
1.792104289573659003e+07,-5.580032400000000572e-09,1.000000000000000000e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.797817611223559827e+07,-5.562299499999999958e-09,1.004999999999999893e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.803510408568059653e+07,-5.544742049999999851e-09,1.010000000000000009e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.801181124522405490e+07,-5.551912500000000084e-09,1.014999999999999902e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.797881561549670994e+07,-5.562101649999999755e-09,1.020000000000000018e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.795554985127687454e+07,-5.569308700000000074e-09,1.024999999999999911e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.792965309572717920e+07,-5.577352750000000027e-09,1.030000000000000027e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.789634880391855538e+07,-5.587731949999999895e-09,1.034999999999999920e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.786966853748396412e+07,-5.596074699999999938e-09,1.040000000000000036e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.784250865457573533e+07,-5.604593049999999710e-09,1.044999999999999929e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.782306150345526263e+07,-5.610708350000000254e-09,1.050000000000000044e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.779890119729381427e+07,-5.618324350000000241e-09,1.054999999999999938e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.778860605805744231e+07,-5.621575949999999473e-09,1.060000000000000053e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.777364449700150639e+07,-5.626308100000000824e-09,1.064999999999999947e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.776232013841323555e+07,-5.629895150000000281e-09,1.070000000000000062e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.775484136351073906e+07,-5.632266600000000189e-09,1.074999999999999956e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.772902987962937355e+07,-5.640466549999999379e-09,1.080000000000000071e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.769589251260066777e+07,-5.651028900000000555e-09,1.084999999999999964e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.770625803078399599e+07,-5.647720699999999824e-09,1.090000000000000080e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.776414786031105369e+07,-5.629315900000000094e-09,1.094999999999999973e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.783568318607940525e+07,-5.606737850000000159e-09,1.100000000000000089e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.792984726719588041e+07,-5.577292350000000625e-09,1.104999999999999982e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.801008579212427884e+07,-5.552444399999999240e-09,1.110000000000000098e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.805934251189183071e+07,-5.537300149999999941e-09,1.114999999999999991e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.807424896050701663e+07,-5.532733350000000014e-09,1.120000000000000107e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.812306041910284013e+07,-5.517831850000000342e-09,1.125000000000000000e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.818523932129558921e+07,-5.498965300000000658e-09,1.129999999999999893e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.820669332484634221e+07,-5.492485550000000570e-09,1.135000000000000009e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.827629232439768314e+07,-5.471569300000000146e-09,1.140000000000000124e+00,2.440000000000000000e+07,2.500000000000000000e+07
1.830463563066883013e+07,-5.463097000000000165e-09,1.145000000000000018e+00,2.440000000000000000e+07,2.500000000000000000e+07
