# resistance (ohms),current (A),time (s),res min,res_max
2.875438963074383259e+09,-3.477729880000000623e-11,1.000000000000000000e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.832554543705700397e+09,-3.530382150000000260e-11,1.004999999999999893e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.847489647574093819e+09,-3.511865270000000480e-11,1.010000000000000009e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.877382199109553337e+09,-3.475381200000000612e-11,1.014999999999999902e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.833229814671184540e+09,-3.529540720000000177e-11,1.020000000000000018e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.821163670205289841e+09,-3.544636600000000026e-11,1.024999999999999911e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.866284692001529694e+09,-3.488836970000000094e-11,1.030000000000000027e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.848702753182331562e+09,-3.510369760000000220e-11,1.034999999999999920e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.814746145433852196e+09,-3.552718249999999789e-11,1.040000000000000036e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.858421527094950676e+09,-3.498434330000000145e-11,1.044999999999999929e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.872265424876028538e+09,-3.481572389999999923e-11,1.050000000000000044e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.826340693715205193e+09,-3.538143869999999838e-11,1.054999999999999938e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.843254501240077019e+09,-3.517096340000000016e-11,1.060000000000000053e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.874439641645449162e+09,-3.478938940000000637e-11,1.064999999999999947e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.829169012035989285e+09,-3.534606790000000107e-11,1.070000000000000062e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.814628504755008221e+09,-3.552866739999999881e-11,1.074999999999999956e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.853110686237914085e+09,-3.504946390000000182e-11,1.080000000000000071e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.825428551820097446e+09,-3.539286099999999725e-11,1.084999999999999964e+00,9.100000000000000000e+08,1.000000000000000000e+10
2.786114847236946583e+09,-3.589227490000000293e-11,1.090000000000000080e+00,9.100000000000000000e+08,1.000000000000000000e+10
