# resistance (ohms),current (A),time (s),res min,res_max
0.000000000000000000e+00,3.176451660000000393e-13,1.000000000000000000e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,-1.204385450000000181e-13,1.004999999999999893e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,3.364759250000000671e-13,1.010000000000000009e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,5.077624880000000562e-13,1.014999999999999902e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,-4.398351900000000298e-14,1.020000000000000018e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,1.407256030000000125e-13,1.024999999999999911e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,5.804035949999999455e-13,1.030000000000000027e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,1.349517080000000161e-13,1.034999999999999920e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,-1.176911030000000079e-14,1.040000000000000036e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,5.038854890000000603e-13,1.044999999999999929e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,3.267015680000000321e-13,1.050000000000000044e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,-1.109513710000000087e-13,1.054999999999999938e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,3.495341359999999884e-13,1.060000000000000053e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,5.111006840000000164e-13,1.064999999999999947e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,-3.371730990000000200e-14,1.070000000000000062e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,1.541125999999999981e-13,1.074999999999999956e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,5.694596870000000161e-13,1.080000000000000071e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,1.059057330000000047e-13,1.084999999999999964e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,-8.302756170000000732e-15,1.090000000000000080e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,5.206355060000000300e-13,1.094999999999999973e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,3.445801840000000496e-13,1.100000000000000089e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,-1.039616260000000034e-13,1.104999999999999982e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,3.779641430000000299e-13,1.110000000000000098e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,5.203174580000000394e-13,1.114999999999999991e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,-3.133864750000000255e-14,1.120000000000000107e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,1.518144490000000120e-13,1.125000000000000000e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,5.457783100000000370e-13,1.129999999999999893e+00,9.100000000000000000e+08,1.000000000000000000e+10
0.000000000000000000e+00,6.863673210000001555e-14,1.135000000000000009e+00,9.100000000000000000e+08,1.000000000000000000e+10
