# resistance (ohms),current (A),time (s),res min,res_max
9.903282659919522703e+07,-1.009766189999999901e-09,1.000000000000000000e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.905440191571211815e+07,-1.009546250000000142e-09,1.004999999999999893e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.903180368743336201e+07,-1.009776620000000041e-09,1.010000000000000009e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.890387407859420776e+07,-1.011082739999999992e-09,1.014999999999999902e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.892711466674506664e+07,-1.010845210000000044e-09,1.020000000000000018e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.904227016134411097e+07,-1.009669910000000105e-09,1.024999999999999911e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.906307432126908004e+07,-1.009457870000000176e-09,1.030000000000000027e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.909481150764659047e+07,-1.009134570000000101e-09,1.034999999999999920e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.917087692492532730e+07,-1.008360549999999990e-09,1.040000000000000036e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.915308000104786456e+07,-1.008541539999999947e-09,1.044999999999999929e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.909825346066957712e+07,-1.009099519999999888e-09,1.050000000000000044e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.913680984844103456e+07,-1.008707060000000060e-09,1.054999999999999938e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.913745261081059277e+07,-1.008700520000000084e-09,1.060000000000000053e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.903760700580148399e+07,-1.009717449999999915e-09,1.064999999999999947e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.900438223097069561e+07,-1.010056299999999983e-09,1.070000000000000062e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.898419646034887433e+07,-1.010262280000000214e-09,1.074999999999999956e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.888900184210431576e+07,-1.011234800000000115e-09,1.080000000000000071e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.882661089525236189e+07,-1.011873210000000177e-09,1.084999999999999964e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.885104540269042552e+07,-1.011623090000000186e-09,1.090000000000000080e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.878971534257231653e+07,-1.012251119999999917e-09,1.094999999999999973e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.868244333150821924e+07,-1.013351480000000204e-09,1.100000000000000089e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.870623467962025106e+07,-1.013107229999999892e-09,1.104999999999999982e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.874015559414474666e+07,-1.012759190000000037e-09,1.110000000000000098e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.868745487639485300e+07,-1.013300020000000095e-09,1.114999999999999991e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.872354601392921805e+07,-1.012929580000000131e-09,1.120000000000000107e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.879360266768017411e+07,-1.012211290000000124e-09,1.125000000000000000e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.877464911491198838e+07,-1.012405519999999918e-09,1.129999999999999893e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.876162014408370852e+07,-1.012539080000000141e-09,1.135000000000000009e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.883150620727582276e+07,-1.011823090000000041e-09,1.140000000000000124e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.889652249168998003e+07,-1.011157900000000004e-09,1.145000000000000018e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.902293280022554100e+07,-1.009867080000000174e-09,1.149999999999999911e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.926960994706906378e+07,-1.007357639999999955e-09,1.155000000000000027e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.944743326522807777e+07,-1.005556370000000156e-09,1.159999999999999920e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.955680397132886946e+07,-1.004451690000000063e-09,1.165000000000000036e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.975562067558138072e+07,-1.002449780000000041e-09,1.169999999999999929e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.992966750141914189e+07,-1.000703820000000130e-09,1.175000000000000044e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.994846357372747362e+07,-1.000515630000000152e-09,1.179999999999999938e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.997396078217467666e+07,-1.000260459999999999e-09,1.185000000000000053e+00,9.429000000000000000e+07,1.042000000000000000e+08
1.001071471823078990e+08,-9.989296750000000854e-10,1.189999999999999947e+00,9.429000000000000000e+07,1.042000000000000000e+08
1.001756941429295093e+08,-9.982461400000001148e-10,1.195000000000000062e+00,9.429000000000000000e+07,1.042000000000000000e+08
1.001999358457886577e+08,-9.980046310000001640e-10,1.199999999999999956e+00,9.429000000000000000e+07,1.042000000000000000e+08
1.002619600376601517e+08,-9.973872440000000954e-10,1.205000000000000071e+00,9.429000000000000000e+07,1.042000000000000000e+08
1.002161838463888317e+08,-9.978428250000000107e-10,1.209999999999999964e+00,9.429000000000000000e+07,1.042000000000000000e+08
1.001238861879730821e+08,-9.987626710000000205e-10,1.215000000000000080e+00,9.429000000000000000e+07,1.042000000000000000e+08
1.000863369764342904e+08,-9.991373750000001198e-10,1.219999999999999973e+00,9.429000000000000000e+07,1.042000000000000000e+08
1.000557605750897080e+08,-9.994427049999999670e-10,1.225000000000000089e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.993333846724203229e+07,-1.000667060000000158e-09,1.229999999999999982e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.986919831489102542e+07,-1.001309730000000171e-09,1.235000000000000098e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.985725804391655326e+07,-1.001429459999999998e-09,1.239999999999999991e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.971537641816703975e+07,-1.002854360000000093e-09,1.245000000000000107e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.960144878673781455e+07,-1.004001460000000142e-09,1.250000000000000000e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.963716131336127222e+07,-1.003641599999999952e-09,1.254999999999999893e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.963597299813319743e+07,-1.003653570000000128e-09,1.260000000000000009e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.952270106840007007e+07,-1.004795880000000139e-09,1.265000000000000124e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.949824329384079576e+07,-1.005042870000000042e-09,1.270000000000000018e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.946452081644220650e+07,-1.005383619999999889e-09,1.274999999999999911e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.930358297952872515e+07,-1.007013010000000194e-09,1.280000000000000027e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.916612002995769680e+07,-1.008408919999999982e-09,1.285000000000000142e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.909997010748502612e+07,-1.009082039999999982e-09,1.290000000000000036e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.896290732674951851e+07,-1.010479610000000133e-09,1.294999999999999929e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.881901103455568850e+07,-1.011951030000000044e-09,1.300000000000000044e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.878570341293640435e+07,-1.012292230000000035e-09,1.304999999999999938e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.871598733252757788e+07,-1.013007140000000081e-09,1.310000000000000053e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.853468381949244440e+07,-1.014871070000000250e-09,1.314999999999999947e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.835998108498220146e+07,-1.016673640000000049e-09,1.320000000000000062e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.815573616821756959e+07,-1.018789160000000140e-09,1.324999999999999956e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.785368509932617843e+07,-1.021933920000000098e-09,1.330000000000000071e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.764448498383074999e+07,-1.024123380000000142e-09,1.334999999999999964e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.752152363415595889e+07,-1.025414660000000160e-09,1.340000000000000080e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.733115254450689256e+07,-1.027420280000000166e-09,1.344999999999999973e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.714135622563944757e+07,-1.029427669999999992e-09,1.350000000000000089e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.710882554916109145e+07,-1.029772520000000112e-09,1.354999999999999982e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.703937335698997974e+07,-1.030509540000000010e-09,1.359999999999999876e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.689276810497812927e+07,-1.032068770000000036e-09,1.364999999999999991e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.681607180871282518e+07,-1.032886360000000057e-09,1.370000000000000107e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.675521236051709950e+07,-1.033536049999999909e-09,1.375000000000000000e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.665132352679364383e+07,-1.034646980000000133e-09,1.379999999999999893e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.660267145414049923e+07,-1.035168060000000099e-09,1.385000000000000009e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.664111063366106153e+07,-1.034756320000000204e-09,1.390000000000000124e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.656085200197394192e+07,-1.035616379999999991e-09,1.395000000000000018e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.642965722651182115e+07,-1.037025359999999892e-09,1.399999999999999911e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.639513336830613017e+07,-1.037396770000000041e-09,1.405000000000000027e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.630034397808766365e+07,-1.038417890000000132e-09,1.410000000000000142e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.611962849033080041e+07,-1.040370229999999987e-09,1.415000000000000036e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.602945845761784911e+07,-1.041347120000000123e-09,1.419999999999999929e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.595350446282628179e+07,-1.042171420000000050e-09,1.425000000000000044e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.580106334390258789e+07,-1.043829750000000027e-09,1.429999999999999938e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.567423397874437273e+07,-1.045213490000000195e-09,1.435000000000000053e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.559060790923573077e+07,-1.046127880000000053e-09,1.439999999999999947e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.544841445579980314e+07,-1.047686340000000165e-09,1.445000000000000062e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.529418357942277193e+07,-1.049381990000000127e-09,1.449999999999999956e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.527416331420703232e+07,-1.049602500000000150e-09,1.455000000000000071e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.517659393598131835e+07,-1.050678490000000030e-09,1.459999999999999964e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.499514470315907896e+07,-1.052685380000000111e-09,1.465000000000000080e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.490431045128403604e+07,-1.053692920000000091e-09,1.469999999999999973e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.485820169149249792e+07,-1.054205099999999909e-09,1.475000000000000089e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.472653137160369754e+07,-1.055670450000000077e-09,1.479999999999999982e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.464747516218365729e+07,-1.056552220000000001e-09,1.484999999999999876e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.461929943795000017e+07,-1.056866840000000080e-09,1.489999999999999991e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.453368334870749712e+07,-1.057824010000000051e-09,1.495000000000000107e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.445320797050195932e+07,-1.058725290000000032e-09,1.500000000000000000e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.445144156465463340e+07,-1.058745089999999933e-09,1.504999999999999893e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.444109960303287208e+07,-1.058861030000000247e-09,1.510000000000000009e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.441307868879759312e+07,-1.059175289999999963e-09,1.515000000000000124e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.451481744708749652e+07,-1.058035159999999944e-09,1.520000000000000018e+00,9.429000000000000000e+07,1.042000000000000000e+08
9.464278759730875492e+07,-1.056604550000000056e-09,1.524999999999999911e+00,9.429000000000000000e+07,1.042000000000000000e+08
