# pulse_v,pulse_width,num_applied,meas_v,i_0,i_1,i_2,i_3,i_4
-5.000000000000000000e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.749145560000000202e-10,-3.823085050000000571e-10,-3.413979615000000593e-10,-3.681129190000000202e-10,-3.401276719999999931e-10
-5.000000000000000000e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.053945610000000075e-10,-3.678290025000000135e-10,-3.436544655000000062e-10,-2.766513225000000194e-10,-3.269182185000000609e-10
-1.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.451013665000000256e-10,-3.033319950000000217e-10,-3.455388274999999757e-10,-3.530950995000000185e-10,-3.560686080000000152e-10
-1.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.597450945000000198e-10,-3.718409130000000348e-10,-3.610940320000000435e-10,-3.656119370000000177e-10,-3.535743104999999908e-10
-2.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.368351875000000655e-10,-3.627515540000000192e-10,-3.330400335000000042e-10,-3.444775525000000403e-10,-3.223110915000000094e-10
-2.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.635428795000000554e-10,-3.519624890000000268e-10,-3.362634685000000189e-10,-3.305216395000000575e-10,-3.107741084999999935e-10
-3.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.560790835000000168e-10,-3.234428620000000332e-10,-3.381125485000000036e-10,-3.713848715000000119e-10,-3.414305700000000356e-10
-3.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.493547590000000532e-10,-3.662585689999999789e-10,-2.677670025000000337e-10,-3.189269135000000479e-10,-3.124594630000000320e-10
-4.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.916666535000000261e-10,-3.544824935000000340e-10,-3.405217390000000319e-10,-3.912223184999999981e-10,-3.313556240000000395e-10
-4.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.650376900000000608e-10,-5.658648300000000592e-10,-5.430507950000000273e-10,-5.468931950000000264e-10,-4.774658985000000268e-10
-5.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.292253850000000607e-10,-5.383635049999999903e-10,-3.464549069999999987e-10,-4.775443215000000160e-10,-4.751266049999999643e-10
-5.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.698195260000000028e-10,-1.913617875000000000e-10,-2.579080900000000132e-10,-1.938281570000000067e-10,-1.690973500000000240e-10
-5.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.771044295000000353e-10,-3.166915540000000253e-10,-3.169301755000000379e-10,-3.084291850000000286e-10,-2.934928350000000009e-10
-6.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.180369799999999368e-11,-1.072423054999999991e-10,-1.125553465000000087e-10,-9.556525200000001140e-11,-9.434179350000001174e-11
-6.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.879124700000001335e-11,-9.629429000000000569e-11,-9.502184950000000967e-11,-9.538758050000000206e-11,-1.023043190000000164e-10
-6.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.876144750000000219e-11,-5.376023249999999885e-11,-4.609549560000000517e-11,-4.629695620000000494e-11,-4.198236940000000426e-11
-6.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.236721960000000652e-11,-5.815934699999999399e-11,-5.769848540000000305e-11,-6.254771520000000569e-11,-5.509613520000000080e-11
-7.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.122742859999999814e-11,-2.552266919999999907e-11,-3.861580379999999927e-11,-2.547934760000000354e-11,-3.002439279999999946e-11
-7.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-9.598755879999999587e-11,-9.662936200000000009e-11,-1.038232754000000069e-10,-8.120300820000001244e-11,-7.399640019999999933e-11
-7.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-8.780643420000000797e-11,-8.906627800000000574e-11,-1.162505372000000121e-10,-1.955863706000000116e-10,-2.407931719999999987e-10
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.386327100000000316e-11,-6.765340439999999455e-11,-9.064053319999999428e-11,-7.048851900000001137e-11,-7.940728180000000153e-11
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.095234939999999731e-11,-5.768809520000000221e-11,-6.517190040000000448e-11,-5.563939799999999621e-11,-6.024899419999999327e-11
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.436032785999999996e-10,-1.352505881999999953e-10,-9.950392479999999627e-11,-1.578812566000000098e-10,-1.723144566000000175e-10
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.904585099999999944e-11,-6.739655759999999795e-11,-7.500165020000000214e-11,-7.425979380000000116e-11,-6.199458479999999446e-11
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.054878599999999742e-11,-1.304116821999999875e-10,-1.825045032000000048e-10,-1.808444906000000195e-10,-1.809650948000000212e-10
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.724176359999999787e-11,-5.673426880000000289e-11,-7.009076920000000502e-11,-6.009873040000000824e-11,-7.186123279999999873e-11
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.047184721999999918e-10,-1.703019408000000049e-10,-1.593982528000000126e-10,-1.601210180000000177e-10,-1.628190030000000123e-10
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.609790240000000068e-11,-6.901233260000001143e-11,-6.812515660000000378e-11,-7.350572760000000230e-11,-7.108846760000000418e-11
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.665118450000000496e-11,-2.581725959999999916e-11,-2.323039089999999964e-11,-1.865091760000000130e-11,-1.316913880000000028e-11
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.183867919999999913e-11,-1.478535139999999980e-11,-2.525965110000000398e-11,-2.101641860000000265e-11,-2.168486680000000125e-11
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.480915410000000067e-10,-1.124108749999999972e-10,-1.182792950000000172e-10,-1.160714320000000055e-10,-1.163838799999999938e-10
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.304912440000000117e-11,-4.283248990000000174e-11,-4.516794960000000301e-11,-3.727318099999999868e-11,-2.896253950000000163e-11
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.876582250000000014e-11,-2.634408740000000040e-11,-2.907012119999999840e-11,-2.882178160000000133e-11,-3.137079199999999576e-11
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-9.677410199999999529e-11,-1.029839530000000034e-10,-1.088584039999999958e-10,-1.048739780000000043e-10,-1.044155020000000140e-10
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.280210300000000010e-10,-1.364393149999999950e-10,-1.289421219999999934e-10,-1.295296209999999985e-10,-1.221601130000000019e-10
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.942584899999999853e-10,-2.992773660000000170e-10,-3.058065039999999999e-10,-3.416011580000000498e-10,-2.751172559999999950e-10
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.032945722000000087e-10,-1.025737461999999986e-10,-9.407756120000001367e-11,-1.168262115999999961e-10,-1.092261523999999960e-10
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.470681079999999737e-10,-2.760207390000000393e-10,-2.721246414999999939e-10,-3.611580185000000258e-10,-3.338898450000000559e-10
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.185055820000000084e-10,-1.257661950000000030e-10,-1.035692150000000161e-10,-1.225072940000000006e-10,-1.188779755000000050e-10
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.703958960000000330e-11,-3.059968300000000085e-11,-3.705037259999999926e-11,-3.241112219999999615e-11,-3.325855999999999920e-11
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.484675039999999915e-11,-4.295241320000000138e-11,-5.256982340000000707e-11,-5.484642960000000359e-11,-5.221761200000000608e-11
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.901628720000000035e-11,-3.816733059999999944e-11,-3.608774080000000275e-11,-4.075398099999999895e-11,-4.568989340000000247e-11
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.102796840000000061e-11,-5.267224280000000620e-11,-5.870145640000000213e-11,-7.231696300000000018e-11,-8.025155340000000568e-11
-8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.604859500000000307e-11,-2.694227820000000278e-11,-2.834712260000000401e-11,-3.305995960000000262e-11,-2.802833380000000016e-11
