# pulse_v,pulse_width,num_applied,meas_v,i_0,i_1,i_2,i_3,i_4
4.200000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.304556990000000728e-09,-4.263342080000000046e-09,-4.293240050000000382e-09,-4.345164510000000358e-09,-4.240523745000000195e-09
4.200000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.513207250000000064e-09,-3.489489920000000174e-09,-3.524665034999999895e-09,-3.484773680000000007e-09,-3.435092685000000251e-09
4.700000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.352138900000000028e-09,-2.602212999999999976e-09,-2.601030320000000249e-09,-2.596847660000000104e-09,-2.632831920000000174e-09
5.200000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.656065040000000001e-09,-3.530117824999999933e-09,-3.504332955000000069e-09,-3.526314564999999962e-09,-3.561540810000000183e-09
5.700000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.714608775000000289e-09,-3.674315229999999828e-09,-3.623717224999999915e-09,-3.470631874999999810e-09,-3.430618205000000057e-09
6.200000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.379528070000000100e-09,-3.407475129999999920e-09,-3.363289860000000074e-09,-3.344736105000000094e-09,-3.427376230000000171e-09
6.700000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.201190950000000350e-09,-4.103114420000000157e-09,-4.086361200000000321e-09,-4.076078215000000269e-09,-4.146228119999999961e-09
6.900000000000000355e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.744282540000000374e-09,-3.709593185000000238e-09,-3.832030719999999538e-09,-3.750608530000000417e-09,-3.562438554999999823e-09
7.400000000000000355e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.037218199999999946e-09,-5.022345350000000308e-09,-4.863638310000000091e-09,-4.679998060000000426e-09,-4.963739009999999999e-09
7.600000000000000533e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.163511344999999920e-09,-4.088069034999999866e-09,-4.180680455000000147e-09,-4.136941960000000444e-09,-4.187397354999999731e-09
7.800000000000000711e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.379059290000000738e-09,-4.501463334999999951e-09,-4.217384109999999665e-09,-4.285495564999999721e-09,-4.396632039999999932e-09
8.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.584303270000000277e-09,-5.155386749999999708e-09,-5.072007100000000465e-09,-4.474612230000000337e-09,-4.774544300000000064e-09
8.199999999999999289e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.201663350000000247e-09,-4.999203824999999838e-09,-4.927619990000000151e-09,-4.864006940000000470e-09,-4.979968639999999855e-09
8.399999999999998579e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-7.172644649999999990e-09,-7.479731649999999470e-09,-7.389850599999999855e-09,-6.648682200000000121e-09,-6.292429649999999841e-09
8.599999999999997868e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.282220600000000589e-09,-5.149890550000000473e-09,-4.878482535000000116e-09,-5.801552550000000078e-09,-5.756182499999999835e-09
8.799999999999997158e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.842547700000000210e-09,-6.828448449999999847e-09,-7.095320699999999664e-09,-6.742334049999999865e-09,-6.789667000000000476e-09
8.999999999999996447e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.981595650000000230e-09,-6.931432549999999903e-09,-6.879966349999999429e-09,-6.958912750000000786e-09,-7.167252200000000741e-09
