# resistance (ohms),time (s),res min,res_max
3.619070925864381343e+07,0.000000000000000000e+00,4.530000000000000000e+07,4.980000000000000000e+07
6.490991065871298313e+07,6.088195536136627197e+02,4.530000000000000000e+07,4.980000000000000000e+07
7.191291746106588840e+07,1.208869113922119141e+03,4.530000000000000000e+07,4.980000000000000000e+07
7.021623802492427826e+07,1.808918674230575562e+03,4.530000000000000000e+07,4.980000000000000000e+07
5.607019371031839401e+07,2.408968234300613403e+03,4.530000000000000000e+07,4.980000000000000000e+07
5.679058153102298826e+07,3.009017794370651245e+03,4.530000000000000000e+07,4.980000000000000000e+07
8.098460132389448583e+07,3.609059831619262695e+03,4.530000000000000000e+07,4.980000000000000000e+07
7.787051101792430878e+07,4.209109392642974854e+03,4.530000000000000000e+07,4.980000000000000000e+07
5.529346349416114390e+07,4.809158951997756958e+03,4.530000000000000000e+07,4.980000000000000000e+07
6.415236171537272632e+07,5.409208512067794800e+03,4.530000000000000000e+07,4.980000000000000000e+07
7.264226764379853010e+07,6.009258072614669800e+03,4.530000000000000000e+07,4.980000000000000000e+07
