# resistance (ohms),time (s),res min,res_max
3.825816424060042202e+07,0.000000000000000000e+00,4.530000000000000000e+07,4.980000000000000000e+07
4.720797808031608164e+07,3.879514503479003906e+01,4.530000000000000000e+07,4.980000000000000000e+07
4.246154177484522760e+07,6.884237360954284668e+01,4.530000000000000000e+07,4.980000000000000000e+07
4.292345063576970249e+07,9.889235115051269531e+01,4.530000000000000000e+07,4.980000000000000000e+07
4.592221056736927480e+07,1.289423305988311768e+02,4.530000000000000000e+07,4.980000000000000000e+07
4.942984600398398936e+07,1.589923069477081299e+02,4.530000000000000000e+07,4.980000000000000000e+07
4.579507052152351290e+07,1.890422856807708740e+02,4.530000000000000000e+07,4.980000000000000000e+07
4.161735287799642980e+07,2.190922632217407227e+02,4.530000000000000000e+07,4.980000000000000000e+07
4.842770684318655729e+07,2.491422410011291504e+02,4.530000000000000000e+07,4.980000000000000000e+07
4.636887302809644490e+07,2.791922190189361572e+02,4.530000000000000000e+07,4.980000000000000000e+07
4.606000633140847087e+07,3.092421970367431641e+02,4.530000000000000000e+07,4.980000000000000000e+07
