# pulse_v,pulse_width,num_applied,meas_v,i_0,i_1,i_2,i_3,i_4
-5.000000000000000000e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.721014940000000247e-09,-3.922236780000000021e-09,-3.912582080000000319e-09,-3.672677100000000087e-09,-3.653264260000000217e-09
-5.000000000000000000e-01,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.289034160000000090e-09,-3.281566119999999954e-09,-3.300887720000000351e-09,-3.282380660000000036e-09,-3.067571460000000286e-09
-1.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.229025700000000247e-09,-3.165825560000000090e-09,-3.313491860000000325e-09,-3.287687580000000228e-09,-3.310051680000000205e-09
-1.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.219120719999999842e-09,-3.213354160000000202e-09,-3.301508260000000217e-09,-3.194179040000000093e-09,-3.180656120000000144e-09
-2.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.227677020000000130e-09,-3.257668419999999973e-09,-3.284885260000000202e-09,-3.276317639999999944e-09,-3.377971459999999958e-09
-2.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.423903340000000129e-09,-3.439085899999999894e-09,-3.300392540000000163e-09,-3.356267720000000216e-09,-3.383239300000000183e-09
-3.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.816142860000000081e-09,-2.808236000000000186e-09,-2.764319960000000053e-09,-2.894347780000000077e-09,-2.882717000000000024e-09
-3.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.307306160000000231e-09,-2.168078760000000497e-09,-1.931050692000000131e-09,-1.967145088000000137e-09,-1.842642134000000116e-09
-4.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.363698520000000041e-09,-2.431192140000000183e-09,-2.298893000000000242e-09,-2.500975700000000471e-09,-2.373263320000000037e-09
-4.500000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-1.489358130000000059e-09,-1.379660412000000026e-09,-1.363516408000000110e-09,-1.388872474000000208e-09,-1.395898257999999920e-09
-5.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-6.574176160000000614e-10,-5.594628720000000031e-10,-5.585570400000000310e-10,-5.560309960000001272e-10,-5.316610400000000858e-10
-5.000000000000000000e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-3.574410479999999931e-10,-3.595762400000000144e-10,-3.745357440000000052e-10,-3.643842300000000115e-10,-3.707094340000000273e-10
-5.200000000000000178e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-4.499147340000000061e-10,-4.560109120000000199e-10,-4.115090500000000163e-10,-4.134440899999999919e-10,-3.734054940000000028e-10
-5.400000000000000355e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.128453820000000274e-10,-4.800118380000000192e-10,-3.546967320000000268e-10,-3.419805899999999832e-10,-3.604600499999999789e-10
-5.600000000000000533e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-5.104174560000000631e-10,-5.108483959999999776e-10,-4.971670380000000097e-10,-4.843198040000000559e-10,-4.875550319999999959e-10
-6.100000000000000533e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.834071280000000032e-10,-2.935485259999999733e-10,-3.270857780000000362e-10,-2.970730500000000302e-10,-2.962110620000000611e-10
-6.300000000000000711e+00,4.999999999999999774e-07,1.000000000000000000e+03,-1.000000000000000056e-01,-2.308723600000000181e-10,-1.474718859999999989e-10,-1.300635440000000178e-10,-1.369436820000000132e-10,-1.293675550000000053e-10
