# resistance (ohms),current (A),time (s),res min,res_max,sensitivity,integ_time
6.946210952717357874e+08,-1.439633790000000051e-10,3.000000000000000000e+01,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
5.046207644006440639e+08,-1.981686190000000097e-10,6.001833333333333087e+01,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
4.978340485134302378e+08,-2.008701499999999963e-10,9.003666666666666174e+01,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
6.645334169334092140e+08,-1.504815220000000193e-10,1.200550000000000068e+02,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
8.332708796809012890e+08,-1.200089940000000083e-10,1.500733333333333235e+02,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
8.065080684680186510e+08,-1.239913199999999895e-10,1.800916666666666686e+02,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
7.116833424749058485e+08,-1.405119300000000039e-10,2.101100000000000136e+02,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
8.611678498725397587e+08,-1.161213810000000108e-10,2.401283333333333303e+02,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
8.644765999194774628e+08,-1.156769310000000134e-10,2.701466666666666470e+02,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
7.762930715633764267e+08,-1.288173290000000034e-10,3.001650000000000205e+02,5.000000000000000000e+08,1.000000000000000000e+10,6.000000000000000000e+00,1.000000000000000000e+00
