# resistance (ohms),time (s),res min,res_max
1.032051318669256754e+07,0.000000000000000000e+00,1.070000000000000000e+07,1.140000000000000000e+07
1.023444161286215112e+07,3.952165150642395020e+01,1.070000000000000000e+07,1.140000000000000000e+07
1.127914466266740672e+07,7.037991023063659668e+01,1.070000000000000000e+07,1.140000000000000000e+07
1.210500632024168968e+07,1.004252312183380127e+02,1.070000000000000000e+07,1.140000000000000000e+07
1.159560747952628694e+07,1.304804770946502686e+02,1.070000000000000000e+07,1.140000000000000000e+07
1.142718518694167025e+07,1.605360863208770752e+02,1.070000000000000000e+07,1.140000000000000000e+07
1.182967557398650609e+07,1.905804896354675293e+02,1.070000000000000000e+07,1.140000000000000000e+07
1.192963123775275610e+07,2.206262094974517822e+02,1.070000000000000000e+07,1.140000000000000000e+07
1.188309479313812964e+07,2.506723072528839111e+02,1.070000000000000000e+07,1.140000000000000000e+07
1.145184602956367470e+07,2.807220950126647949e+02,1.070000000000000000e+07,1.140000000000000000e+07
1.193312592223970406e+07,3.107716283798217773e+02,1.070000000000000000e+07,1.140000000000000000e+07
