# resistance (ohms),time (s),res min,res_max
2.644880594776093215e+07,0.000000000000000000e+00,3.190000000000000000e+07,3.990000000000000000e+07
3.145241397591789439e+07,3.871028614044189453e+01,3.190000000000000000e+07,3.990000000000000000e+07
3.304878527504233643e+07,6.875704216957092285e+01,3.190000000000000000e+07,3.990000000000000000e+07
3.177763687573587149e+07,9.880370354652404785e+01,3.190000000000000000e+07,3.990000000000000000e+07
3.776103495444602519e+07,1.288510863780975342e+02,3.190000000000000000e+07,3.990000000000000000e+07
3.257725647507178411e+07,1.588973388671875000e+02,3.190000000000000000e+07,3.990000000000000000e+07
3.598979945432841778e+07,1.889439508914947510e+02,3.190000000000000000e+07,3.990000000000000000e+07
3.159939390592921898e+07,2.189923985004425049e+02,3.190000000000000000e+07,3.990000000000000000e+07
3.428790706594696641e+07,2.490355761051177979e+02,3.190000000000000000e+07,3.990000000000000000e+07
3.445964594202451408e+07,2.790814259052276611e+02,3.190000000000000000e+07,3.990000000000000000e+07
3.582071699621164799e+07,3.091245224475860596e+02,3.190000000000000000e+07,3.990000000000000000e+07
