# resistance (ohms),time (s),res min,res_max
1.227995532699611597e+07,0.000000000000000000e+00,1.220000000000000000e+07,1.250000000000000000e+07
1.521414868968562782e+07,6.096395533084869385e+02,1.220000000000000000e+07,1.250000000000000000e+07
1.615482447758972831e+07,1.209689113616943359e+03,1.220000000000000000e+07,1.250000000000000000e+07
1.886744803624157608e+07,1.809738673686981201e+03,1.220000000000000000e+07,1.250000000000000000e+07
1.872379230790662393e+07,2.409788233518600464e+03,1.220000000000000000e+07,1.250000000000000000e+07
2.023902554297487810e+07,3.009837794065475464e+03,1.220000000000000000e+07,1.250000000000000000e+07
2.243370606547110155e+07,3.609879639625549316e+03,1.220000000000000000e+07,1.250000000000000000e+07
2.227818569302868098e+07,4.209929199218750000e+03,1.220000000000000000e+07,1.250000000000000000e+07
2.401106684477515891e+07,4.809978759765625000e+03,1.220000000000000000e+07,1.250000000000000000e+07
2.188360015912178531e+07,5.410028320312500000e+03,1.220000000000000000e+07,1.250000000000000000e+07
2.294544605931077898e+07,6.010077879667282104e+03,1.220000000000000000e+07,1.250000000000000000e+07
