# resistance (ohms),time (s),res min,res_max
2.693989728312860131e+08,0.000000000000000000e+00,4.770000000000000000e+08,1.000000000000000000e+10
3.783453208138664365e+08,3.639097833633422852e+01,4.770000000000000000e+08,1.000000000000000000e+10
5.490400943161278963e+08,6.644095587730407715e+01,4.770000000000000000e+08,1.000000000000000000e+10
3.358328431517154574e+08,9.649093484878540039e+01,4.770000000000000000e+08,1.000000000000000000e+10
6.593812528794519901e+08,1.265409121513366699e+02,4.770000000000000000e+08,1.000000000000000000e+10
4.579525046100246906e+08,1.565908904075622559e+02,4.770000000000000000e+08,1.000000000000000000e+10
2.937352072746602297e+08,1.866408679485321045e+02,4.770000000000000000e+08,1.000000000000000000e+10
3.188142314235013723e+08,2.166908462047576904e+02,4.770000000000000000e+08,1.000000000000000000e+10
2.869736853108438253e+08,2.467408239841461182e+02,4.770000000000000000e+08,1.000000000000000000e+10
3.488765390470471978e+08,2.767908020019531250e+02,4.770000000000000000e+08,1.000000000000000000e+10
3.636582915701484084e+08,3.068407795429229736e+02,4.770000000000000000e+08,1.000000000000000000e+10
